name,name_en,device,registry_key,action_count,function_count,atom_actions,description,description_en,categories,tags
A2D 可编程直流电子负载,A2D Programmable DC Electronic Load,a2_d__eload,a2_d__eload,26,37,auto-cal_i_reset|auto-cal_i_save|auto-cal_v_reset|auto-cal_v_save|auto-calibrate_current|auto-calibrate_voltage|auto-get_cal_i|auto-get_cal_v|auto-get_fan|auto-get_led|auto-get_output|auto-get_rs485_addr|auto-initialize|auto-kick|auto-measure_current|auto-measure_current_control|auto-measure_temperature|auto-measure_voltage_adc_supply|auto-measure_voltage_supply|auto-reset|auto-save_rs485_addr|auto-set_current|auto-set_fan|auto-set_led|auto-set_rs485_addr|auto-toggle_output,一种可编程直流电子负载，通过吸收设定电流对电源、电池及其他直流输出进行测试。实验中常用于负载调节、输出电压与电流测量、温度监测，以及电压和电流校准，并支持通过 RS485 进行设备寻址。,"A programmable DC electronic load that sinks a set current to test power supplies, batteries, and other DC sources. In the lab it is used for load regulation, output voltage and current measurement, temperature monitoring, and voltage/current calibration, with device addressing over RS485.",电子负载,表征设备|实验室自动化与仪器集成|实验仪器数据采集与联机控制|电子与电气测试|电源与电池测试|电子负载
A2D继电器板,A2D Relay Board,a2_d__relay__board,a2_d__relay__board,9,18,auto-connect_eload|auto-connect_psu|auto-eload_connected|auto-get_num_channels|auto-initialize|auto-psu_connected|auto-reset|auto-set_i2c_expander_addr|auto-set_led,一款用于实验室自动化的继电器切换板，可控制电源与电子负载的连接状态，并支持多通道切换、板载指示灯控制以及I2C扩展器地址设置。常用于自动测试工装中的电源路径切换与设备联接控制。,"A relay switching board for laboratory automation that controls the connection state of power supplies and electronic loads. It supports multi-channel switching, onboard LED control, and I2C expander address configuration, and is commonly used for power-path switching and equipment connection control in automated test setups.",数据采集与控制接口|继电器切换板,物流/机械|实验室自动化与仪器集成|实验仪器数据采集与联机控制|数据采集与控制接口|电源与电池测试|继电器切换板
A2D数据采集模块,A2D DAQ Module,a2_d_daq,a2_d_daq,14,23,auto-calibrate_pullup_v|auto-conf_io|auto-configure_from_dict|auto-get_analog_mv|auto-get_analog_v|auto-get_dig_in|auto-get_pullup_v|auto-initialize|auto-measure_temperature|auto-measure_voltage|auto-reset|auto-set_dig|auto-set_led|auto-set_read_delay_ms,这是一款实验室用数据采集设备，具备模拟电压读取、温度测量和数字输入/输出功能，并带有板载指示灯与可配置通道。它适合用于传感器信号采集、基础电压监测、数字控制和通用实验自动化测试。,"This is a laboratory data acquisition device with analog voltage readback, temperature measurement, and digital input/output capabilities, along with an onboard indicator LED and configurable channels. It is suitable for sensor readout, basic voltage monitoring, digital control, and general laboratory automation tasks.",数据采集与控制接口|电压采集模块,表征设备|实验室自动化与仪器集成|电子与电气测试|实验仪器数据采集与联机控制|电压监测与传感器信号采集|数据采集与控制接口|电压采集模块
A2D源测电源板,A2D Source-Measure Power Board,a2_d_power_board,a2_d_power_board,13,21,auto-calibrate_current|auto-calibrate_voltage|auto-initialize|auto-measure_current|auto-measure_temperature|auto-measure_voltage|auto-reset_calibration|auto-set_current|auto-set_i2c_adc_addr|auto-set_i2c_dac_addr|auto-set_led|auto-set_voltage|auto-toggle_output,这是一块可编程电源与测量一体化电路板，可输出设定电压或电流，并测量电压、电流及板载温度。它适合实验室中用于为被测器件供电、进行基础电学表征、校准与板级调试。,"This is a programmable power and measurement board that can source a set voltage or current and measure voltage, current, and onboard temperature. It is suitable for laboratory use in powering devices under test, basic electrical characterization, calibration, and board-level debugging.",源测单元模块,实验执行&合成设备|表征设备|电子与电气测试|电源与电池测试|电压监测与传感器信号采集|源测单元模块
A2D多功能检测板,A2D Sense Board,a2_d_sense_board,a2_d_sense_board,9,17,auto-calibrate_current|auto-calibrate_voltage|auto-initialize|auto-measure_current|auto-measure_temperature|auto-measure_voltage|auto-reset_calibration|auto-set_i2c_adc_addr|auto-set_led,这是一种用于实验室电学测试的多功能检测电路板，可测量电压、电流和温度，并支持校准。它适合嵌入测试夹具、原型系统或自动化实验平台中，用于基础信号采集与状态监测。,"This is a multifunction measurement board for laboratory electrical testing. It can measure voltage, current, and temperature, and supports calibration. It is suitable for integration into test fixtures, prototype systems, or automated lab setups for basic signal acquisition and condition monitoring.",电压采集模块|数据采集与控制接口,表征设备|电子与电气测试|实验室自动化与仪器集成|电压监测与传感器信号采集|实验仪器数据采集与联机控制|电压采集模块|数据采集与控制接口
A4S微孔板热封机,A4S Microplate Heat Sealer,a4_s_backend,a4_s_backend,13,24,auto-close|auto-get_remaining_time|auto-get_status|auto-get_temperature|auto-open|auto-seal|auto-send_command|auto-set_heater|auto-set_temperature|auto-set_time|auto-setup|auto-stop|auto-system_reset,A4S是一种用于实验室微孔板热封的自动封膜设备，可对PCR板、深孔板或储样板施加受控温度和时间，将封膜材料压合到板口以实现密封。它适用于样品储存、避免蒸发与污染，以及自动化样品处理流程中的板封口步骤。,"The A4S is an automated microplate heat sealer used in laboratories to apply sealing films to microplates under controlled temperature and time conditions. It is used with PCR plates, deep-well plates, or storage plates to create a secure seal for sample storage, evaporation and contamination control, and automated sample-processing workflows.",封膜仪,备料&前处理设备|生命体系|实验室自动化与仪器集成|移液站产品|封膜仪
自动化注射泵控制器,Automated Syringe Pump Controller,a_pump,a_pump,16,23,auto-close|auto-disconnect|auto-enableRemoteControl|auto-getIdentification|auto-getResponse|auto-getStatus|auto-readDisplay|auto-selectUnit|auto-sendAndAcknowledge|auto-sendBuffered|auto-sendImmediate|auto-sendString|auto-setFlowDirection|auto-setSpeed|auto-startFlow|auto-stopFlow,这是一种用于实验室自动化系统的注射泵控制设备，用于对泵单元进行远程使能、启动/停止、状态读取与命令下发。它常用于试剂分配、液体传输和流程化液路控制场景。,"This is a syringe-pump control device for laboratory automation, used to remotely enable pump units, start and stop flow, read status, and send control commands. It is commonly used in reagent dispensing, liquid transfer, and scripted fluid-path control workflows.",注射泵,备料&前处理设备|溶液配制与反应|实验室自动化与仪器集成|移液站产品|注射泵
A-Star轮速编码器,A-Star Wheel Speed Encoder,a_star_speed,a_star_speed,3,19,auto-run_threaded|auto-shutdown|auto-update,这是一种安装在移动小车车轮上的旋转编码器测速装置，通常与A-Star控制板配合使用，用于根据车轮转动脉冲计算轮速和车辆行驶速度，常见于机器人小车与自动驾驶实验平台。,"This is a wheel-mounted rotary encoder speed sensing device, typically used with an A-Star controller board, for calculating wheel speed and vehicle motion from encoder ticks. It is commonly used in robotic cars and autonomous vehicle lab platforms.",轮速编码器,物流/机械|机器人与移动平台|移动机器人与自动驾驶实验|轮速编码器
AA Opto MDS 声光可调滤波器,AA Opto MDS Acousto-Optic Tunable Filter,aa_opto_mds,aa_opto_mds,10,17,auto-Close|auto-Disable|auto-Enable|auto-GetFreq|auto-GetPower|auto-GetStatus|auto-SetFreq|auto-SetPower|auto-SetPowerAndEnable|auto-query,这是一台 AA Opto 的 MDS 系列声光可调滤波器/控制单元，用于按通道控制激光光路的透过、射频驱动功率和工作频率，从而实现特定波长或光束的快速选通与强度调节。该设备常用于荧光显微、激光扫描和多激光实验中的快速波长选择与光强调制。,"This is an AA Opto MDS-series acousto-optic tunable filter and controller used to control laser transmission, RF drive power, and operating frequency on individual channels, enabling fast wavelength selection and intensity modulation. It is commonly used in fluorescence microscopy, laser scanning, and multi-laser laboratory setups for rapid optical switching and beam control.",声光可调滤波器,表征设备|生命体系|智慧表征与检测中心|显微成像与光学显微实验|声光可调滤波器
Agilent VSpin 微孔板离心机,Agilent VSpin Microplate Centrifuge,access2_backend,access2_backend,33,52,auto-bucket_1_remainder|auto-close|auto-close_door|auto-configure_and_initialize|auto-g_to_rpm|auto-get_bucket_1_position|auto-get_bucket_locked|auto-get_door_locked|auto-get_door_open|auto-get_home_position|auto-get_position|auto-get_status|auto-get_tachometer|auto-go_to_bucket1|auto-go_to_bucket2|auto-go_to_position|auto-initialize|auto-load|auto-lock_bucket|auto-lock_door|auto-open|auto-open_door|auto-park|auto-send_command|auto-serialize|auto-set_bucket_1_position_to_current|auto-set_configuration_data|auto-setup|auto-spin|auto-stop|auto-unload|auto-unlock_bucket|auto-unlock_door,一款用于实验室自动化系统的微孔板离心机，可对样品板进行装载、卸载、开关门、锁定转篮并执行离心运行。常用于微孔板样品的短时离心、收集液滴和自动化流程中的板级前处理。,"An automated microplate centrifuge for laboratory workflows. It can load and unload plates, open and close the door, lock the bucket, and perform spin operations. It is commonly used for short spins, collecting droplets, and plate-level sample preparation in automated lab systems.",离心机,备料&前处理设备|生命体系|实验室自动化与仪器集成|移液站产品|离心机
ACQ1102高速数据采集系统,ACQ1102 high-speed data acquisition system,acq1102,acq1102,49,144,chan2volts|clear_counters|close|data_size|demux_status|elapsed_samples|fetch_all_calibration|get_aggregator_sites|get_aggregator_svc_list|get_blocks|get_elapsed|get_post|get_pre|get_state|get_sys_info|get_total|init_site_client|load_awg|load_dio482pg|load_dpg|load_gpg|load_segments|load_stl|load_wrpg|make_sa_sd_aliases|nchan|post_samples|pre_samples|read|read_chan|read_decims|read_transient_timebase|run_service|samples|scale_raw|set_DO|set_mb_clk|set_segment|set_sync_routing|set_sync_routing_master|set_sync_routing_slave|show_segments|st_monitor|state|uut_demux_enabled|wait_armed|wait_event|wait_state_changed|wait_stopped,ACQ1102是一类面向实验室测量与控制的高速数据采集设备，可用于多通道瞬态信号采集、连续数据流监测、触发前后波形记录以及同步时钟/触发路由。结合校准、分段采集、数字输出和波形/脉冲序列加载功能，它适合物理实验、脉冲功率、装置联调和其他需要精确定时的数据记录场景。,"The ACQ1102 is a high-speed laboratory data acquisition instrument for multi-channel transient capture, live data streaming, pre/post-trigger waveform recording, and synchronized clock/trigger routing. With calibration handling, segmented acquisition, digital outputs, and waveform or pulse-sequence loading, it is suited to physics experiments, pulsed-power setups, system integration, and other precisely timed measurement tasks.",数据采集与控制接口|高速数据采集系统,实验执行&合成设备|表征设备|智慧表征与检测中心|实验室自动化与仪器集成|实验仪器数据采集与联机控制|数据采集与控制接口|瞬态信号采集与同步触发测量|高速数据采集系统
ACQ2106 模块化高速数据采集机箱,ACQ2106 modular high-speed data acquisition chassis,acq2106,acq2106,5,144,auto-set_MR|auto-set_master_trg|auto-set_mb_clk|auto-set_sync_routing_slave|auto-wr_PPS_active,ACQ2106 是一类模块化高速数据采集机箱，用于承载多通道采集模块并进行统一的时钟、触发和同步管理。它常用于实验室中的瞬态信号记录、波形采集以及需要多设备同步的测量场景。,"The ACQ2106 is a modular high-speed data acquisition chassis that hosts multi-channel acquisition modules and provides centralized clock, trigger, and synchronization control. It is commonly used in laboratories for transient recording, waveform capture, and synchronized measurements across multiple devices.",数据采集与控制接口|模块化高速数据采集机箱,表征设备|智慧表征与检测中心|实验室自动化与仪器集成|实验仪器数据采集与联机控制|数据采集与控制接口|瞬态信号采集与同步触发测量|模块化高速数据采集机箱
ACQ2106高速数据采集机箱（MGTDRAM8）,ACQ2106 High-Speed Data Acquisition Chassis with MGTDRAM8,acq2106__mgtdram8,acq2106__mgtdram8,2,144,auto-create_mgtdram_pull_client|auto-run_mgt,一款模块化高速数据采集机箱，可配合 MGTDRAM8 高速存储/传输功能进行瞬态波形采集、缓存与读出。常用于物理实验、脉冲测试和其他需要多通道高速记录与事后取数的测量场景。,"A modular high-speed data acquisition chassis that works with the MGTDRAM8 high-speed storage/transfer function for transient waveform capture, buffering, and readout. It is used in physics experiments, pulsed tests, and other measurements that require multi-channel high-speed recording and post-shot data retrieval.",模块化高速数据采集机箱,表征设备|电子与电气测试|瞬态信号采集与同步触发测量|模块化高速数据采集机箱
