device,registry_key,short_description,categories,tags,action_count,atom_actions,action_titles,function_count,info_txt
a2_d__eload,a2_d__eload,A/D Electronic Load是由A/D Instruments生产的电池测试柜，主要功能包括初始化、复位、数据保存、校准、测量、电流设置。,电池测试柜,电池测试柜(device_template_tag),26,auto-cal_i_reset|auto-cal_i_save|auto-cal_v_reset|auto-cal_v_save|auto-calibrate_current|auto-calibrate_voltage|auto-get_cal_i|auto-get_cal_v|auto-get_fan|auto-get_led|auto-get_output|auto-get_rs485_addr|auto-initialize|auto-kick|auto-measure_current|auto-measure_current_control|auto-measure_temperature|auto-measure_voltage_adc_supply|auto-measure_voltage_supply|auto-reset|auto-save_rs485_addr|auto-set_current|auto-set_fan|auto-set_led|auto-set_rs485_addr|auto-toggle_output,cal_i_reset|cal_i_save|cal_v_reset|cal_v_save|calibrate_current|calibrate_voltage|get_cal_i|get_cal_v|get_fan|get_led|get_output|get_rs485_addr|initialize|kick|measure_current|measure_current_control|measure_temperature|measure_voltage_adc_supply|measure_voltage_supply|reset|save_rs485_addr|set_current|set_fan|set_led|set_rs485_addr|toggle_output,31,Uni-Lab-OS/community_drivers/a2_d__eload/info.txt
a2_d__relay__board,a2_d__relay__board,A/D Relay Board是由A/D Instruments生产的表征设备，主要功能包括初始化、复位、设备连接。,表征设备,表征设备(experimental_step),9,auto-connect_eload|auto-connect_psu|auto-eload_connected|auto-get_num_channels|auto-initialize|auto-psu_connected|auto-reset|auto-set_i2c_expander_addr|auto-set_led,connect_eload|connect_psu|eload_connected|get_num_channels|initialize|psu_connected|reset|set_i2c_expander_addr|set_led,12,Uni-Lab-OS/community_drivers/a2_d__relay__board/info.txt
a2_d_daq,a2_d_daq,A/D DAQ Module是由A/D Instruments生产的表征设备，主要功能包括初始化、参数配置、复位、日志记录、校准、测量。,表征设备,表征设备(experimental_step),14,auto-calibrate_pullup_v|auto-conf_io|auto-configure_from_dict|auto-get_analog_mv|auto-get_analog_v|auto-get_dig_in|auto-get_pullup_v|auto-initialize|auto-measure_temperature|auto-measure_voltage|auto-reset|auto-set_dig|auto-set_led|auto-set_read_delay_ms,calibrate_pullup_v|conf_io|configure_from_dict|get_analog_mv|get_analog_v|get_dig_in|get_pullup_v|initialize|measure_temperature|measure_voltage|reset|set_dig|set_led|set_read_delay_ms,17,Uni-Lab-OS/community_drivers/a2_d_daq/info.txt
a2_d_power_board,a2_d_power_board,A/D Power Board是由A/D Instruments生产的表征设备，主要功能包括初始化、复位、校准、测量、电压设置、电流设置。,表征设备,表征设备(experimental_step),13,auto-calibrate_current|auto-calibrate_voltage|auto-initialize|auto-measure_current|auto-measure_temperature|auto-measure_voltage|auto-reset_calibration|auto-set_current|auto-set_i2c_adc_addr|auto-set_i2c_dac_addr|auto-set_led|auto-set_voltage|auto-toggle_output,calibrate_current|calibrate_voltage|initialize|measure_current|measure_temperature|measure_voltage|reset_calibration|set_current|set_i2c_adc_addr|set_i2c_dac_addr|set_led|set_voltage|toggle_output,15,Uni-Lab-OS/community_drivers/a2_d_power_board/info.txt
a2_d_sense_board,a2_d_sense_board,A/D Sense Board模拟传感信号采集板卡，支持多通道模拟信号读取。,表征设备,表征设备(experimental_step),9,auto-calibrate_current|auto-calibrate_voltage|auto-initialize|auto-measure_current|auto-measure_temperature|auto-measure_voltage|auto-reset_calibration|auto-set_i2c_adc_addr|auto-set_led,calibrate_current|calibrate_voltage|initialize|measure_current|measure_temperature|measure_voltage|reset_calibration|set_i2c_adc_addr|set_led,11,Uni-Lab-OS/community_drivers/a2_d_sense_board/info.txt
a4_s_backend,a4_s_backend,A4 S Backend驱动，支持close/open/seal/send command/set heater等13个操作。,移液工作站,移液工作站(device_template_tag),13,auto-close|auto-get_remaining_time|auto-get_status|auto-get_temperature|auto-open|auto-seal|auto-send_command|auto-set_heater|auto-set_temperature|auto-set_time|auto-setup|auto-stop|auto-system_reset,close|get_remaining_time|get_status|get_temperature|open|seal|send_command|set_heater|set_temperature|set_time|setup|stop|system_reset,18,Uni-Lab-OS/community_drivers/a4_s_backend/info.txt
a_pump,a_pump,Automated Pump Controller是由Tricontinent (Gardner Denver)生产的注射泵，主要功能包括使能、停止、关闭、启动、状态查询、设备连接。,注射泵,注射泵(device_template_tag),16,auto-close|auto-disconnect|auto-enableRemoteControl|auto-getIdentification|auto-getResponse|auto-getStatus|auto-readDisplay|auto-selectUnit|auto-sendAndAcknowledge|auto-sendBuffered|auto-sendImmediate|auto-sendString|auto-setFlowDirection|auto-setSpeed|auto-startFlow|auto-stopFlow,close|disconnect|enableRemoteControl|getIdentification|getResponse|getStatus|readDisplay|selectUnit|sendAndAcknowledge|sendBuffered|sendImmediate|sendString|setFlowDirection|setSpeed|startFlow|stopFlow,17,Uni-Lab-OS/community_drivers/a_pump/info.txt
a_star_speed,a_star_speed,A Star Speed是由Pololu生产的专业实验设备。,实验执行&合成设备,实验执行&合成设备(experimental_step),3,auto-run_threaded|auto-shutdown|auto-update,run_threaded|shutdown|update,13,Uni-Lab-OS/community_drivers/a_star_speed/info.txt
aa_opto_mds,aa_opto_mds,AAOptoMDS,aotf,,10,auto-Close|auto-Disable|auto-Enable|auto-GetFreq|auto-GetPower|auto-GetStatus|auto-SetFreq|auto-SetPower|auto-SetPowerAndEnable|auto-query,Close|Disable|Enable|GetFreq|GetPower|GetStatus|SetFreq|SetPower|SetPowerAndEnable|query,11,Uni-Lab-OS/community_drivers/aa_opto_mds/info.txt
access2_backend,access2_backend,Hamilton ACCESS2 Automated Storage 存储系统是由Hamilton Company生产的专业实验设备。,自动化耗材堆栈,自动化耗材堆栈(device_template_tag),33,auto-bucket_1_remainder|auto-close|auto-close_door|auto-configure_and_initialize|auto-g_to_rpm|auto-get_bucket_1_position|auto-get_bucket_locked|auto-get_door_locked|auto-get_door_open|auto-get_home_position|auto-get_position|auto-get_status|auto-get_tachometer|auto-go_to_bucket1|auto-go_to_bucket2|auto-go_to_position|auto-initialize|auto-load|auto-lock_bucket|auto-lock_door|auto-open|auto-open_door|auto-park|auto-send_command|auto-serialize|auto-set_bucket_1_position_to_current|auto-set_configuration_data|auto-setup|auto-spin|auto-stop|auto-unload|auto-unlock_bucket|auto-unlock_door,bucket_1_remainder|close|close_door|configure_and_initialize|g_to_rpm|get_bucket_1_position|get_bucket_locked|get_door_locked|get_door_open|get_home_position|get_position|get_status|get_tachometer|go_to_bucket1|go_to_bucket2|go_to_position|initialize|load|lock_bucket|lock_door|open|open_door|park|send_command|serialize|set_bucket_1_position_to_current|set_configuration_data|setup|spin|stop|unload|unlock_bucket|unlock_door,45,Uni-Lab-OS/community_drivers/access2_backend/info.txt
acq1102,acq1102,Acq1102是由D-TACQ Solutions生产的专业实验设备。,实验执行&合成设备,实验执行&合成设备(experimental_step),49,chan2volts|clear_counters|close|data_size|demux_status|elapsed_samples|fetch_all_calibration|get_aggregator_sites|get_aggregator_svc_list|get_blocks|get_elapsed|get_post|get_pre|get_state|get_sys_info|get_total|init_site_client|load_awg|load_dio482pg|load_dpg|load_gpg|load_segments|load_stl|load_wrpg|make_sa_sd_aliases|nchan|post_samples|pre_samples|read|read_chan|read_decims|read_transient_timebase|run_service|samples|scale_raw|set_DO|set_mb_clk|set_segment|set_sync_routing|set_sync_routing_master|set_sync_routing_slave|show_segments|st_monitor|state|uut_demux_enabled|wait_armed|wait_event|wait_state_changed|wait_stopped,chan2volts|clear_counters|close|data_size|demux_status|elapsed_samples|fetch_all_calibration|get_aggregator_sites|get_aggregator_svc_list|get_blocks|get_elapsed|get_post|get_pre|get_state|get_sys_info|get_total|init_site_client|load_awg|load_dio482pg|load_dpg|load_gpg|load_segments|load_stl|load_wrpg|make_sa_sd_aliases|nchan|post_samples|pre_samples|read|read_chan|read_decims|read_transient_timebase|run_service|samples|scale_raw|set_DO|set_mb_clk|set_segment|set_sync_routing|set_sync_routing_master|set_sync_routing_slave|show_segments|st_monitor|state|uut_demux_enabled|wait_armed|wait_event|wait_state_changed|wait_stopped,134,Uni-Lab-OS/community_drivers/acq1102/info.txt
