name,name_en,device,registry_key,action_count,function_count,atom_actions,description,description_en,categories,tags
气体源,,gas_handler.gas_source.mock,gas_source.mock,5,,auto-is_closed|auto-is_open|close|open|set_status,模拟气体源设备，用于系统测试和开发调试。该设备模拟真实气体源的开关控制和状态监测功能，支持气体供应的启停操作。提供与真实气体源相同的接口和状态反馈，便于在没有实际硬件的情况下进行系统集成测试和算法验证。适用于气路系统调试、软件开发和实验流程验证等场景。,,实验执行&合成设备,实验执行&合成设备|流动化学|有机 SuperChemputer|实验室自动化与仪器集成
真空泵,,gas_handler.vacuum_pump.mock,vacuum_pump.mock,5,,auto-is_closed|auto-is_open|close|open|set_status,模拟真空泵设备，用于系统测试和开发调试。该设备模拟真实真空泵的抽气功能和状态控制，支持真空系统的启停操作和状态监测。提供与真实真空泵相同的接口和控制逻辑，便于在没有实际硬件的情况下进行真空系统的集成测试。适用于真空工艺调试、软件开发和实验流程验证等场景。,,实验执行&合成设备,实验执行&合成设备|流动化学|有机 SuperChemputer|实验室自动化与仪器集成
Thermo Orbitor RS2 样品存储柜,,hotel.hotel.thermo_orbitor_rs2_hotel,hotel.thermo_orbitor_rs2_hotel,0,,,Thermo Orbitor RS2 Hotel容器设备，用于实验室样品的存储和管理。该设备通过HotelContainer类实现容器的旋转控制和状态监控，主要用于存储实验样品、试剂瓶或其他实验器具，支持旋转功能以便于样品的自动化存取。适用于需要有序存储和快速访问大量样品的实验室自动化场景。,,物流/机械,物流/机械|实验室自动化与仪器集成
XYZ 步进电机控制器,,laiyu_liquid_test.xyz_stepper_controller,xyz_stepper_controller,18,,auto-degrees_to_steps|auto-emergency_stop|auto-enable_all_axes|auto-enable_motor|auto-home_all_axes|auto-home_axis|auto-move_to_position|auto-move_to_position_degrees|auto-move_to_position_revolutions|auto-move_xyz|auto-move_xyz_degrees|auto-move_xyz_revolutions|auto-revolutions_to_steps|auto-set_speed_mode|auto-steps_to_degrees|auto-steps_to_revolutions|auto-stop_all_axes|auto-wait_for_completion,新XYZ控制器,,物流/机械,物流/机械|实验室自动化与仪器集成
液体处理工作站,,liquid_handler.liquid_handler,liquid_handler,29,,add_liquid|aspirate|auto-create_protocol|auto-custom_delay|auto-iter_tips|auto-set_group|auto-set_liquid|auto-set_liquid_from_plate|auto-set_tiprack|auto-touch_tip|auto-transfer_group|discard_tips|dispense|drop_tips|drop_tips96|mix|move_lid|move_plate|move_resource|move_to|pick_up_tips|pick_up_tips96|remove|remove_liquid|return_tips|return_tips96|stamp|transfer|transfer_liquid,Liquid handler device controlled by pylabrobot,,备料&前处理设备|移液工作站,备料&前处理设备|移液工作站|移液站产品|溶液配制与反应|实验室自动化与仪器集成
Biomek 液体处理工作站,,liquid_handler.liquid_handler.biomek,liquid_handler.biomek,10,,auto-create_resource|auto-deserialize|auto-instrument_setup_biomek|create_protocol|incubation_biomek|move_biomek|oscillation_biomek|run_protocol|transfer_biomek|transfer_liquid,Biomek液体处理器设备，基于pylabrobot控制,,备料&前处理设备|移液工作站,备料&前处理设备|移液工作站|移液站产品|溶液配制与反应|实验室自动化与仪器集成
来渝液体处理工作站,,liquid_handler.liquid_handler.laiyu,liquid_handler.laiyu,7,,add_liquid|aspirate|auto-transfer_liquid|dispense|drop_tips|mix|pick_up_tips,Laiyu液体处理器设备，基于pylabrobot控制,,备料&前处理设备|移液工作站,备料&前处理设备|移液工作站|移液站产品|溶液配制与反应|实验室自动化与仪器集成
PRCXI 液体处理工作站,,liquid_handler.liquid_handler.prcxi,liquid_handler.prcxi,24,,add_liquid|aspirate|auto-create_protocol|auto-custom_delay|auto-heater_action|auto-iter_tips|auto-move_to|auto-run_protocol|auto-set_group|auto-shaker_action|auto-touch_tip|auto-transfer_group|discard_tips|dispense|drop_tips|mix|move_plate|pick_up_tips|remove_liquid|set_liquid|set_liquid_from_plate|set_tiprack|transfer|transfer_liquid,prcxi液体处理器设备，基于pylabrobot控制,,备料&前处理设备|移液工作站,备料&前处理设备|移液工作站|移液站产品|溶液配制与反应|实验室自动化与仪器集成
Revvity 液体处理工作站,,liquid_handler.liquid_handler.revvity,liquid_handler.revvity,1,,run,Revvity（原PerkinElmer）液体处理工作站，基于pylabrobot控制，用于实验室液体样品的自动化分配和转移操作。,,备料&前处理设备|移液工作站,备料&前处理设备|移液工作站|移液站产品|溶液配制与反应|实验室自动化与仪器集成
新威电池测试系统,,neware_battery_test_system.neware_battery_test_system,neware_battery_test_system,11,,auto-print_status_summary|auto-test_connection|debug_resource_names|export_status_json|get_device_summary|get_plate_status|print_status_summary_action|query_plate_action|submit_from_csv|test_connection_action|upload_backup_to_oss,新威电池测试系统驱动，提供720个通道的电池测试状态监控、物料管理和CSV批量提交功能。支持TCP通信实现远程控制，包含完整的物料管理系统（2盘电池状态映射），以及从CSV文件批量提交测试任务的能力。,,表征设备|电池测试柜,表征设备|电池测试柜|电解液配方与工艺|实验室自动化与仪器集成
OPC UA 示例设备,,opcua_example.opcua_example,opcua_example,6,,auto-disconnect|auto-load_config|auto-refresh_node_values|auto-set_node_value|auto-start_node_refresh|auto-stop_node_refresh,OPC UA 通信协议示例设备，支持节点值读写、配置加载和自动刷新功能，用于工业通信协议的集成测试和设备互联互通验证。,,,实验室自动化与仪器集成|实验仪器通信与驱动集成
OPSKY ATR30007 光纤拉曼模块,,opsky_ATR30007.opsky_ATR30007,opsky_ATR30007,5,,auto-ensure_connected|auto-run_once|auto-safe_read|auto-safe_write|auto-wait_with_quit_check,OPSKY ATR30007 光纤拉曼模块，提供单一入口大函数以执行一次完整流程。,,表征设备|拉曼光谱仪,表征设备|拉曼光谱仪|智慧表征与检测中心|物化表征测试中心
旋转蒸发仪,,organic_miscellaneous.rotavap.one,rotavap.one,5,,auto-cmd_write|auto-main_loop|auto-set_pump_time|auto-set_rotate_time|set_timer,旋转蒸发仪设备，用于有机化学实验中的溶剂回收和浓缩操作。该设备通过串口通信控制，集成旋转和真空泵功能，支持定时控制和自动化操作。具备旋转速度调节、真空度控制、温度管理等功能，实现高效的溶剂蒸发和回收。适用于有机合成、天然产物提取、药物制备等需要溶剂去除和浓缩的实验室应用场景。,,后处理设备|旋转蒸发器,后处理设备|旋转蒸发器|有机 SuperChemputer|溶液配制与反应
自制液-液分离器,,organic_miscellaneous.separator.homemade,separator.homemade,5,,auto-read_sensor_loop|auto-valve_open|auto-write|stir|valve_open_cmd,液-液分离器设备，基于自制Grbl控制器的自动化分离系统。该设备集成搅拌、沉降、阀门控制和电导率传感器，通过串口通信实现精确的分离操作控制。支持自动搅拌、分层沉降、基于传感器反馈的智能分液等功能。适用于有机化学中的萃取分离、相分离、液-液提取等需要精确分离控制的实验应用。,,后处理设备,后处理设备|有机 SuperChemputer|流动化学|实验室自动化与仪器集成
后处理工作站,,post_process_station.post_process_station,post_process_station,9,,auto-load_config|auto-print_cache_stats|auto-set_node_value|disconnect|read_node|trigger_cleaning_action|trigger_grab_action|trigger_post_processing|write_node,后处理站,,后处理设备,后处理设备|实验室自动化与仪器集成
电磁阀,,pump_and_valve.solenoid_valve,solenoid_valve,7,,auto-close|auto-is_closed|auto-is_open|auto-open|auto-read_data|auto-send_command|set_valve_position,电磁阀控制设备，用于精确的流体路径控制和开关操作。该设备通过串口通信控制电磁阀的开关状态，支持远程操作和状态监测。具备快速响应、可靠密封、状态反馈等特性，广泛应用于流体输送、样品进样、路径切换等需要精确流体控制的实验室自动化应用。,,实验执行&合成设备,实验执行&合成设备|流动化学|实验室自动化与仪器集成
电磁阀,,pump_and_valve.solenoid_valve.mock,solenoid_valve.mock,5,,auto-is_closed|auto-is_open|auto-set_valve_position|close|open,模拟电磁阀设备，用于系统测试和开发调试。该设备模拟真实电磁阀的开关操作和状态变化，提供与实际设备相同的控制接口和反馈机制。支持流体路径的虚拟控制，便于在没有实际硬件的情况下进行流体系统的集成测试和算法验证。适用于系统开发、流程调试和培训演示等场景。,,实验执行&合成设备,实验执行&合成设备|流动化学|实验室自动化与仪器集成
润泽 SY03B-T06 精密注射泵,,pump_and_valve.syringe_pump_with_valve.runze.SY03B-T06,syringe_pump_with_valve.runze.SY03B-T06,18,,auto-close|auto-initialize|auto-list|auto-pull_plunger|auto-push_plunger|auto-query_aux_input_status_1|auto-query_aux_input_status_2|auto-query_backlash_position|auto-query_command_buffer_status|auto-query_software_version|auto-send_command|auto-set_baudrate|auto-set_max_velocity|auto-set_position|auto-set_valve_position|auto-set_velocity_grade|auto-stop_operation|auto-wait_error,润泽精密注射泵设备，集成阀门控制的高精度流体输送系统。该设备通过串口通信控制，支持多种运行模式和精确的体积控制。具备可变速度控制、精密定位、阀门切换、实时状态监控等功能。适用于微量液体输送、精密进样、流速控制、化学反应进料等需要高精度流体操作的实验室自动化应用。,,实验执行&合成设备|注射泵|多通阀,实验执行&合成设备|注射泵|多通阀|流动化学|溶液配制与反应|实验室自动化与仪器集成
润泽 SY03B-T08 精密注射泵,,pump_and_valve.syringe_pump_with_valve.runze.SY03B-T08,syringe_pump_with_valve.runze.SY03B-T08,18,,auto-close|auto-initialize|auto-list|auto-pull_plunger|auto-push_plunger|auto-query_aux_input_status_1|auto-query_aux_input_status_2|auto-query_backlash_position|auto-query_command_buffer_status|auto-query_software_version|auto-send_command|auto-set_baudrate|auto-set_max_velocity|auto-set_position|auto-set_valve_position|auto-set_velocity_grade|auto-stop_operation|auto-wait_error,润泽精密注射泵设备，集成阀门控制的高精度流体输送系统。该设备通过串口通信控制，支持多种运行模式和精确的体积控制。具备可变速度控制、精密定位、阀门切换、实时状态监控等功能。适用于微量液体输送、精密进样、流速控制、化学反应进料等需要高精度流体操作的实验室自动化应用。,,实验执行&合成设备|注射泵|多通阀,实验执行&合成设备|注射泵|多通阀|流动化学|溶液配制与反应|实验室自动化与仪器集成
Bioyond 反应工作站,,reaction_station_bioyond.reaction_station.bioyond,reaction_station.bioyond,25,,add_time_constraint|auto-clear_workflows|auto-create_order|auto-hard_delete_merged_workflows|auto-merge_workflow_with_parameters|auto-process_temperature_cutoff_report|auto-process_web_workflows|auto-set_reactor_temperature|auto-skip_titration_steps|auto-sync_workflow_sequence_from_bioyond|auto-wait_for_multiple_orders_and_get_reports|auto-workflow_sequence|auto-workflow_step_query|clean_all_server_workflows|drip_back|extract_actuals_from_batch_reports|liquid_feeding_beaker|liquid_feeding_solvents|liquid_feeding_titration|liquid_feeding_vials_non_titration|process_and_execute_workflow|reactor_taken_in|reactor_taken_out|scheduler_start|solid_feeding_vials,Bioyond反应站,,实验执行&合成设备|合成反应仪,实验执行&合成设备|合成反应仪|溶液配制与反应|实验室自动化与仪器集成
Bioyond 反应器,,reaction_station_bioyond.reaction_station.reactor,reaction_station.reactor,1,,auto-update_metrics,反应站子设备-反应器,,实验执行&合成设备|反应釜,实验执行&合成设备|反应釜|溶液配制与反应
SEER 自动导引车,,robot_agv.agv.SEER,agv.SEER,2,,auto-send|send_nav_task,SEER AGV自动导引车设备，用于实验室内物料和设备的自主移动运输。该AGV通过TCP socket与导航系统通信，具备精确的定位和路径规划能力。支持实时位置监控、状态查询和导航任务执行，可在预设的实验室环境中自主移动至指定位置。适用于样品运输、设备转移、多工位协作等实验室自动化物流场景。,,物流/机械|AGV,物流/机械|AGV|实验室自动化与仪器集成
SCARA 机械臂滑轨系统,,robot_arm.robotic_arm.SCARA_with_slider.moveit.virtual,robotic_arm.SCARA_with_slider.moveit.virtual,8,,auto-check_tf_update_actions|auto-moveit_joint_task|auto-moveit_task|auto-resource_manager|auto-wait_for_resource_action|pick_and_place|set_position|set_status,机械臂与滑块运动系统，基于MoveIt2运动规划框架的多自由度机械臂控制设备。该系统集成机械臂和线性滑块，通过ROS2和MoveIt2实现精确的轨迹规划和协调运动控制。支持笛卡尔空间和关节空间的运动规划、碰撞检测、逆运动学求解等功能。适用于复杂的pick-and-place操作、精密装配、多工位协作等需要高精度多轴协调运动的实验室自动化应用。,,物流/机械|机械臂,物流/机械|机械臂|实验室自动化与仪器集成
Universal Robots 协作机械臂,,robot_arm.robotic_arm.UR,robotic_arm.UR,5,,auto-arm_init|auto-load_pose_data|auto-load_pose_file|auto-reload_pose|move_pos_task,Universal Robots机械臂设备，用于实验室精密操作和自动化作业。该设备集成了UR机械臂本体、Robotiq夹爪和RTDE通信接口，支持六自由度精确运动控制和力觉反馈。具备实时位置监控、状态反馈、轨迹规划等功能，可执行复杂的多点位运动任务。适用于样品抓取、精密装配、实验器具操作等需要高精度和高重复性的实验室自动化场景。,,物流/机械|机械臂,物流/机械|机械臂|实验室自动化与仪器集成
艾利特协作机械臂,,robot_arm.robotic_arm.elite,robotic_arm.elite,8,,auto-close|auto-modbus_close|auto-modbus_read_holding_registers|auto-modbus_task|auto-modbus_write_single_register|auto-parse_success_response|auto-send_command|modbus_task_cmd,Elite robot arm,,物流/机械|机械臂,物流/机械|机械臂|实验室自动化与仪器集成
Misumi RZ 电子夹爪,,robot_gripper.gripper.misumi_rz,gripper.misumi_rz,15,,auto-data_loop|auto-data_reader|auto-gripper_move|auto-init_gripper|auto-modbus_crc|auto-move_and_rotate|auto-node_gripper_move|auto-node_rotate_move|auto-read_address|auto-rotate_move_abs|auto-send_cmd|auto-wait_for_gripper|auto-wait_for_gripper_init|auto-wait_for_rotate|execute_command_from_outer,Misumi RZ系列电子夹爪设备，集成旋转和抓取双重功能的精密夹爪系统。该设备通过Modbus RTU协议与控制系统通信，支持位置、速度、力矩的精确控制。具备高精度的位置反馈、实时状态监控和故障检测功能。适用于需要精密抓取和旋转操作的实验室自动化场景，如样品管理、精密装配、器件操作等应用。,,物流/机械,物流/机械|机械臂|实验室自动化与仪器集成
电子夹爪,,robot_gripper.gripper.mock,gripper.mock,2,,auto-edit_id|push_to,模拟夹爪设备，用于系统测试和开发调试。该设备模拟真实夹爪的位置、速度、力矩等物理特性，支持虚拟的抓取和移动操作。提供与真实夹爪相同的接口和状态反馈，便于在没有实际硬件的情况下进行系统集成测试和算法验证。适用于软件开发、系统调试和培训演示等场景。,,物流/机械,物流/机械|机械臂|实验室自动化与仪器集成
Grbl 三轴数控运动平台,,robot_linear_motion.linear_motion.grbl,linear_motion.grbl,7,,auto-initialize|auto-list|auto-set_position|auto-stop_operation|auto-wait_error|move_through_points|set_spindle_speed,Grbl数控机床（CNC）设备，用于实验室精密加工和三轴定位操作。该设备基于Grbl固件，通过串口通信控制步进电机实现X、Y、Z三轴的精确运动。支持绝对定位、轨迹规划、主轴控制和实时状态监控。具备安全限位保护和运动平滑控制功能。适用于精密钻孔、铣削、雕刻、样品制备等需要高精度定位和加工的实验室应用场景。,,物流/机械,物流/机械|实验室自动化与仪器集成
东洋 XYZ 三轴运动平台（仿真）,,robot_linear_motion.linear_motion.toyo_xyz.sim,linear_motion.toyo_xyz.sim,8,,auto-check_tf_update_actions|auto-moveit_joint_task|auto-moveit_task|auto-resource_manager|auto-wait_for_resource_action|pick_and_place|set_position|set_status,东洋XYZ三轴运动平台，基于MoveIt2运动规划框架的精密定位设备。该设备通过ROS2和MoveIt2实现三维空间的精确运动控制，支持复杂轨迹规划、多点定位、速度控制等功能。具备高精度定位、平稳运动、实时轨迹监控等特性。适用于精密加工、样品定位、检测扫描、自动化装配等需要高精度三维运动控制的实验室和工业应用场景。,,物流/机械,物流/机械|实验室自动化与仪器集成
iCL42 步进电机驱动器,,robot_linear_motion.motor.iCL42,motor.iCL42,4,,auto-execute_run_motor|auto-init_device|auto-run_motor|execute_command_from_outer,iCL42步进电机驱动器，用于实验室设备的精密线性运动控制。该设备通过串口通信控制iCL42型步进电机驱动器，支持多种运动模式和精确的位置、速度控制。具备位置反馈、运行状态监控和故障检测功能。适用于自动进样器、样品传送、精密定位平台等需要准确线性运动控制的实验室自动化设备。,,物流/机械,物流/机械|实验室自动化与仪器集成
来渝固体粉末自动分装机,,solid_dispenser.solid_dispenser.laiyu,solid_dispenser.laiyu,9,,add_powder_tube|auto-calculate_crc|auto-send_command|discharge|move_to_plate|move_to_xyz|pick_powder_tube|put_powder_tube|reset,来渝固体粉末自动分装设备，用于实验室化学试剂的精确称量和分装。该设备通过Modbus RTU协议与控制系统通信，集成了精密天平、三轴运动平台、粉筒管理系统等组件。支持多种粉末试剂的自动拿取、精确称量、定点分装和归位操作。具备高精度称量、位置控制和批量处理能力，适用于化学合成、药物研发、材料制备等需要精确固体试剂配制的实验室应用场景。,,备料&前处理设备|固体称量工作站,备料&前处理设备|固体称量工作站|粉体&固相反应|实验室自动化与仪器集成
实验室循环冷水机,,temperature.chiller,chiller,5,,auto-build_modbus_frame|auto-convert_temperature_to_modbus_value|auto-modbus_crc|auto-stop|set_temperature,实验室制冷设备，用于精确的温度控制和冷却操作。该设备通过Modbus RTU协议与控制系统通信，支持精确的温度设定和监控。具备快速降温、恒温控制和温度保持功能，广泛应用于需要低温环境的化学反应、样品保存、结晶操作等实验场景。提供稳定可靠的冷却性能，确保实验过程的温度精度。,,实验执行&合成设备|冷热水机,实验执行&合成设备|冷热水机|实验室自动化与仪器集成
大龙加热磁力搅拌器,,temperature.heaterstirrer.dalong,heaterstirrer.dalong,6,,auto-close|auto-set_stir_speed|auto-set_temp_inner|heatchill|set_temp_target|set_temp_warning,大龙加热搅拌器，集成加热和搅拌双重功能的实验室设备。该设备通过串口通信控制，支持精确的温度调节、搅拌速度控制和安全保护功能。具备实时温度监测、目标温度设定、安全温度报警等特性。适用于化学合成、样品制备、反应控制等需要同时进行加热和搅拌的实验操作，提供稳定均匀的反应环境。,,实验执行&合成设备|控温磁力搅拌器,实验执行&合成设备|控温磁力搅拌器|溶液配制与反应
高精度温度传感器,,temperature.tempsensor,tempsensor,5,,auto-build_modbus_request|auto-calculate_crc|auto-read_modbus_response|auto-send_prototype_command|set_warning,高精度温度传感器设备，用于实验室环境和设备的温度监测。该传感器通过Modbus RTU协议与控制系统通信，提供实时准确的温度数据。具备高精度测量、报警温度设定、数据稳定性好等特点。适用于反应器监控、环境温度监测、设备保护等需要精确温度测量的实验场景，为实验安全和数据可靠性提供保障。,,表征设备,表征设备|实验仪器数据采集与联机控制|实验室自动化与仪器集成
离心机,,virtual_device.virtual_centrifuge,virtual_centrifuge,3,,auto-cleanup|auto-initialize|centrifuge,Virtual Centrifuge for CentrifugeProtocol Testing,,后处理设备,后处理设备
柱色谱装置,,virtual_device.virtual_column,virtual_column,3,,auto-cleanup|auto-initialize|run_column,Virtual Column Chromatography Device for RunColumn Protocol Testing,,后处理设备,后处理设备
过滤装置,,virtual_device.virtual_filter,virtual_filter,3,,auto-cleanup|auto-initialize|filter,Virtual Filter for FilterProtocol Testing,,后处理设备,后处理设备
气体源,,virtual_device.virtual_gas_source,virtual_gas_source,7,,auto-cleanup|auto-initialize|auto-is_closed|auto-is_open|close|open|set_status,Virtual gas source,,实验执行&合成设备,实验执行&合成设备
加热冷却装置,,virtual_device.virtual_heatchill,virtual_heatchill,5,,auto-cleanup|auto-initialize|heat_chill|heat_chill_start|heat_chill_stop,Virtual HeatChill for HeatChillProtocol Testing,,实验执行&合成设备|冷热水机,实验执行&合成设备|冷热水机
八通阀,,virtual_device.virtual_multiway_valve,virtual_multiway_valve,11,,auto-close|auto-is_at_port|auto-is_at_position|auto-is_at_pump_position|auto-open|auto-reset|auto-set_to_port|auto-set_to_pump_position|auto-switch_between_pump_and_port|set_position|set_valve_position,Virtual 8-Way Valve for flow direction control,,实验执行&合成设备|多通阀,实验执行&合成设备|多通阀
旋转蒸发仪,,virtual_device.virtual_rotavap,virtual_rotavap,3,,auto-cleanup|auto-initialize|evaporate,Virtual Rotary Evaporator for EvaporateProtocol Testing,,后处理设备|旋转蒸发器,后处理设备|旋转蒸发器
分离器,,virtual_device.virtual_separator,virtual_separator,3,,auto-cleanup|auto-initialize|separate,Virtual Separator for SeparateProtocol Testing,,后处理设备,后处理设备
电磁阀,,virtual_device.virtual_solenoid_valve,virtual_solenoid_valve,9,,auto-cleanup|auto-initialize|auto-is_closed|auto-reset|auto-toggle|close|open|set_status|set_valve_position,Virtual Solenoid Valve for simple on/off flow control,,实验执行&合成设备,实验执行&合成设备
固体分装机,,virtual_device.virtual_solid_dispenser,virtual_solid_dispenser,6,,add_solid|auto-cleanup|auto-find_solid_reagent_bottle|auto-initialize|auto-parse_mass_string|auto-parse_mol_string,Virtual Solid Dispenser for Add Protocol Testing - supports mass and molar additions,,备料&前处理设备|固体称量工作站,备料&前处理设备|固体称量工作站|粉体&固相反应
搅拌器,,virtual_device.virtual_stirrer,virtual_stirrer,5,,auto-cleanup|auto-initialize|start_stir|stir|stop_stir,Virtual Stirrer for StirProtocol Testing,,实验执行&合成设备,实验执行&合成设备
注射泵,,virtual_device.virtual_transfer_pump,virtual_transfer_pump,14,,auto-aspirate|auto-cleanup|auto-dispense|auto-empty_syringe|auto-fill_syringe|auto-initialize|auto-is_empty|auto-is_full|auto-pull_plunger|auto-push_plunger|auto-set_max_velocity|auto-stop_operation|set_position|transfer,Virtual Transfer Pump for TransferProtocol Testing (Syringe-style),,实验执行&合成设备|注射泵,实验执行&合成设备|注射泵
真空泵,,virtual_device.virtual_vacuum_pump,virtual_vacuum_pump,7,,auto-cleanup|auto-initialize|auto-is_closed|auto-is_open|close|open|set_status,Virtual vacuum pump,,实验执行&合成设备,实验执行&合成设备
通用工作站,,work_station.workstation,workstation,26,,AGVTransferProtocol|AddProtocol|AdjustPHProtocol|CentrifugeProtocol|CleanProtocol|CleanVesselProtocol|DissolveProtocol|DryProtocol|EvacuateAndRefillProtocol|EvaporateProtocol|FilterProtocol|FilterThroughProtocol|HeatChillProtocol|HeatChillStartProtocol|HeatChillStopProtocol|HydrogenateProtocol|PumpTransferProtocol|RecrystallizeProtocol|ResetHandlingProtocol|RunColumnProtocol|SeparateProtocol|StartStirProtocol|StirProtocol|StopStirProtocol|TransferProtocol|WashSolidProtocol,Workstation,,实验执行&合成设备,实验执行&合成设备|实验室自动化与仪器集成
