id,name,name_en,type,source_files,rationale_examples,confidence
P-8001,液体样品离心分离与前处理,Liquid Sample Centrifugal Separation & Pre-processing,experimental_scene,tag_additions_proposed.csv,该设备专门用于液体样品的离心分离、沉降和自动化前处理，现有场景标签缺少这一常见实验场景。,high
4333,深研院 AI4LifeScience,SIAIS AI4LifeScience,experimental_scene,tag 标签列表.csv,,high
4330,细胞生物学研究,Cell Biology Research,experimental_scene,tag 标签列表.csv,,high
4462,蛋白质组学研究,Proteomics Research,experimental_scene,tag 标签列表.csv,,high
P-13003,透射电镜与冷冻电镜成像,TEM & Cryo-EM Imaging,experimental_scene,tag_additions_proposed.csv,描述明确指出其常用于TEM和冷冻电镜实验中的成像记录、剂量分割采集和零损峰对准。,high
4315,器件/细胞设备,Device / Cell Equipment,experimental_step,tag 标签列表.csv,,high
P-8002,CCD探测器,CCD Detector,device_template_tag,tag_additions_proposed.csv,该设备被明确描述为用于光谱测量的CCD/EMCCD探测器，现有模板缺少更贴切的探测器类别。,medium
P-20006,GSIOC兼容液体处理仪器,GSIOC-Compatible Liquid Handling Instrument,device_template_tag,tag_additions_proposed.csv,描述指向一类采用GSIOC协议的Gilson液体处理、进样、输液或收集仪器。 || 其描述覆盖多种支持GSIOC的样品处理和流体输送类实验室仪器。,medium
P-0009,LED光源控制器,LED Light Controller,device_template_tag,tag_additions_proposed.csv,设备本质上是多通道LED照明控制器，用于独立驱动和调节显微照明通道。,medium
4363,一体化配粉配液站,Integrated Powder & Liquid Dispensing Station,device_template_tag,tag 标签列表.csv,,medium
P-200101,压电定位器,Piezo Positioner,device_template_tag,tag_additions_proposed.csv,该设备是双轴压电纳米定位平台，用于XY精密位移与扫描。 || 该设备是用于显微实验精密调焦与纳米位移控制的压电定位器。,medium
4378,固体称量工作站,Solid Weighing Workstation,device_template_tag,tag 标签列表.csv,,medium
P-11002,多普勒超声探头,Doppler Ultrasound Probe,device_template_tag,tag_additions_proposed.csv,设备是通过USB连接、支持B超与多普勒采集的超声探头，现有模板中缺少对应类别。,medium
P-9900102,多路温湿度传感器采集盒,Multi-Channel Temperature & Humidity Sensor Hub,device_template_tag,tag_additions_proposed.csv,EK-H4本质上是面向多路温湿度探头的集中采集/复用盒，现有模板缺少更精准对应。,medium
P-0212,多通道可调光谱LED光源,Multi-Channel Tunable Spectrum LED Light Source,device_template_tag,tag_additions_proposed.csv,Sunbrick 是多通道、可联网、可调光谱的 LED 光源模块，现有模板不足以完整覆盖其特征。,medium
P-700102,实验室可控光源,Controllable Laboratory Light Source,device_template_tag,tag_additions_proposed.csv,该设备是通过USB-TMC控制的通用实验室光源，可覆盖多类照明/激发设备模板。,medium
P-990905,实验室封膜机控制接口,Laboratory Sealer Control Interface,device_template_tag,tag_additions_proposed.csv,该组件不是实体封膜机，而是可被多种封膜机实现复用的软件控制接口模板。,medium
P-300005,实验室磁体系统,Laboratory Magnet System,device_template_tag,tag_additions_proposed.csv,该设备是由电流源驱动并可读出磁场的实验室磁体，现有模板缺少对通用实验磁体系统的覆盖。,medium
4384,封膜仪,Plate Sealer,device_template_tag,tag 标签列表.csv,,medium
4386,开关盖加液模块,Cap/Decap Liquid Dispensing Module,device_template_tag,tag 标签列表.csv,,medium
P-40004,微孔板加热振荡器控制器,Microplate Heater Shaker Controller,device_template_tag,tag_additions_proposed.csv,该设备本质是微孔板加热振荡器的专用控制盒/控制器。,medium
P-5002,微孔板恒温振荡器,Microplate Thermoshaker,device_template_tag,tag_additions_proposed.csv,设备是典型的微孔板控温振荡设备，较现有热混匀仪标签更贴合。 || 相较通用热混匀仪，该设备更准确地属于微孔板恒温振荡器这一类模板。,medium
P-91003,微孔板温控模块,Microplate Temperature Control Module,device_template_tag,tag_additions_proposed.csv,该设备专门对微孔板或小型实验容器进行加热/冷却和恒温保持，适合单列为温控模块类别。,medium
P-9902,微孔板自动培养存储系统,Automated Microplate Incubator Storage System,device_template_tag,tag_additions_proposed.csv,该设备兼具微孔板培养、自动存储和转运功能，现有模板无法完整表达其自动化培养存储特征。,medium
P-31001,微流控液体泵,Microfluidic Liquid Pump,device_template_tag,tag_additions_proposed.csv,该设备面向微升级液体、管路输送和预充操作，适合作为微流控液体泵这一通用设备模板。,medium
4390,扫描电子显微镜,Scanning Electron Microscope,device_template_tag,tag 标签列表.csv,,medium
4396,撕膜仪,Plate Desealer,device_template_tag,tag 标签列表.csv,,medium
P-1113,数字微镜空间光调制器,Digital Micromirror Spatial Light Modulator,device_template_tag,tag_additions_proposed.csv,DLP6500 系列 DMD 属于数字微镜式空间光调制器的通用设备模板。,medium
P-990005,显微照明光源,Microscopy Illumination Source,device_template_tag,tag_additions_proposed.csv,该Prior Lumen设备本质是可开关的显微照明光源，而非激光器。,medium
P-990006,显微照明快门,Microscopy Illumination Shutter,device_template_tag,tag_additions_proposed.csv,该设备用于控制显微照明光路通断，是典型显微照明快门。,medium
P-700004,显微镜卤素照明光源,Microscope Halogen Illumination Source,device_template_tag,tag_additions_proposed.csv,设备是显微镜专用卤素灯照明单元，用于样品观察、成像和对焦。,medium
4400,普通光学显微镜,Optical Microscope,device_template_tag,tag 标签列表.csv,,medium
P-200102,机械光快门控制器,Mechanical Optical Shutter Controller,device_template_tag,tag_additions_proposed.csv,SC10 是用于驱动 Thorlabs 机械快门的专用控制器，现有模板中缺少这一类通用光快门控制器。,medium
P-9006,气候箱,Climate Chamber,device_template_tag,tag_additions_proposed.csv,Binder MK53本身就是具备温度设定、监测和门状态反馈的实验室气候箱。 || 该设备是用于温度控制、样品装载和运行状态监测的实验室气候试验箱。,medium
4414,洗板机,Microplate Washer,device_template_tag,tag 标签列表.csv,,medium
P-91002,生物电信号采集板,Bioelectrical Signal Acquisition Board,device_template_tag,tag_additions_proposed.csv,该设备是可扩展通道的开源生物电采集板，适合归入生物电/脑电采集硬件类别。,medium
P-3008,电动位移台控制器,Motorized Stage Controller,device_template_tag,tag_additions_proposed.csv,该设备是用于电动位移台、旋转台等机构的专用控制器，适合作为通用模板。,medium
P-5003,电动定位台,Motorized Positioning Stage,device_template_tag,tag_additions_proposed.csv,描述指出该类设备可为单轴或多轴位移台，较通用的电动定位台模板可更完整覆盖其实例范围。 || 该类设备可能包含一个或多个运动轴，通用的电动定位台模板能更好覆盖多轴情况。,medium
P-9000010,电子显微镜远程控制代理,Electron Microscope Remote Control Proxy,device_template_tag,tag_additions_proposed.csv,该设备本质是面向TEM/STEM的远程软件代理，负责显微镜状态访问、参数控制与采集触发，现有模板标签不足以准确覆盖。,medium
4428,电热板,Hot Plate,device_template_tag,tag 标签列表.csv,,medium
P-13004,电镜相机,Electron Microscope Camera,device_template_tag,tag_additions_proposed.csv,该设备直接管理透射电镜相机与直接电子探测器，适合作为独立设备模板。,medium
P-13005,电镜能量过滤器,Electron Microscope Energy Filter,device_template_tag,tag_additions_proposed.csv,系统同时支持能量过滤器狭缝宽度、能量偏移和零损峰对准，体现独立能量过滤器模板特征。,medium
4432,磁珠纯化模块,Magnetic Bead Purification Module,device_template_tag,tag 标签列表.csv,,medium
P-3001,科学相机,Scientific Camera,device_template_tag,tag_additions_proposed.csv,该设备是低噪声、高灵敏度科研成像相机，适合作为通用科学相机模板。 || 该设备是带高灵敏探测与制冷能力的科研相机，适合纳入科学相机模板。,medium
4435,移液器,Pipette,device_template_tag,tag 标签列表.csv,,medium
4436,移液工作站,Liquid Handling Workstation,device_template_tag,tag 标签列表.csv,,medium
4437,移液管,Pipette Tube,device_template_tag,tag 标签列表.csv,,medium
4447,荧光显微镜,Fluorescence Microscope,device_template_tag,tag 标签列表.csv,,medium
4456,透射电子显微镜,Transmission Electron Microscope,device_template_tag,tag 标签列表.csv,,medium
P-60005,门控像增强器,Gated Image Intensifier,device_template_tag,tag_additions_proposed.csv,该设备是高重复频率、可门控的像增强器，可作为一类弱光增强成像器件模板。,medium
P-0030,面阵探测器,Area Detector,device_template_tag,tag_additions_proposed.csv,设备核心能力是二维面阵图像采集与ROI统计，适合作为通用模板标签。,medium
P-970002,样品分离与前处理,Sample Separation & Pre-processing,experimental_domain,tag_additions_proposed.csv,除自动化属性外，该设备更本质地服务于样品分离和前处理流程，现有领域标签中缺少这一更贴切的上位分类。,medium
P-9004,环境控制与稳定性测试,Environmental Control & Stability Testing,experimental_domain,tag_additions_proposed.csv,该气候箱通过受控温度环境支持样品调理和稳定性评估，适合归入环境控制与稳定性测试领域。 || MK56用于环境模拟和样品稳定性测试，适合归入环境控制与稳定性测试领域。,medium
P-900006,分析称量与配样,Analytical Weighing & Sample Preparation,experimental_scene,tag_additions_proposed.csv,该设备用于分析称量、去皮清零和样品配制，现有场景标签缺少针对实验室称量配样的通用场景。,medium
P-6002,外接设备恒温控制,External Equipment Thermostating,experimental_scene,tag_additions_proposed.csv,该控制器核心用途是为反应器、冷凝器和分析仪器等外接设备提供恒温循环配套。,medium
P-5001,实验室机器人操作与样品转运,Laboratory Robotic Manipulation & Sample Transfer,experimental_scene,tag_additions_proposed.csv,该机械臂用于实验室抓取、搬运、末端位姿控制和样品定位，符合机器人操作与转运场景。,medium
P-5007,实验室机械臂自动化与样品搬运,Laboratory Robotic Arm Automation & Sample Handling,experimental_scene,tag_additions_proposed.csv,设备典型用途是实验室自动化、教学演示和样品搬运，值得单独成景。,medium
P-8113,实验成像与机器视觉,Laboratory Imaging & Machine Vision,experimental_scene,tag_additions_proposed.csv,该设备支持触发采集、ROI、曝光和增益控制，典型用于实验机器视觉与视觉测量。,medium
P-8115,实验成像与过程监测,Laboratory Imaging & Process Monitoring,experimental_scene,tag_additions_proposed.csv,其主要用途包括样品观察、设备对准和过程监测，适合作为通用实验成像场景标签。,medium
P-60004,时间分辨光学成像,Time-Resolved Optical Imaging,experimental_scene,tag_additions_proposed.csv,其主要用途是对瞬态发光和激光诱导过程进行门控增强成像，典型对应时间分辨光学成像。,medium
P-92004,显微定位重建与集群分析,Microscopy Localization Reconstruction & Cluster Analysis,experimental_scene,tag_additions_proposed.csv,该规则对象专门在采集完成后推进定位重建或集群分析，现有显微场景过于宽泛。,medium
P-0006,显微成像与光学显微实验,Microscopy Imaging & Optical Microscopy Experiments,experimental_scene,tag_additions_proposed.csv,该控制器直接用于荧光显微、多通道成像和滤光片切换，适合作为显微成像场景标签。 || 该系统直接支撑样品定位、滤光片切换和照明调节，适合显微成像与光学显微实验场景。 || 该控制器面向荧光激发、透射/反射照明和多波段显微实验。,medium
P-0038,样品/探针定位与运动控制,Sample / Probe Positioning & Motion Control,experimental_scene,tag_additions_proposed.csv,设备用于一维样品、探针和传感器定位，直接对应实验中的定位与运动控制场景。,medium
P-300006,液体输送与定量分配,Liquid Transfer & Metered Dispensing,experimental_scene,tag_additions_proposed.csv,描述中涵盖连续运行、按转数运行、灌装与分配，适合归入通用液体输送与定量分配场景。 || 设备支持连续输液、定时分配和批量加液，和液体输送与定量分配场景直接匹配。,medium
P-12002,溶解氧与气体氧监测,Dissolved Oxygen & Gaseous Oxygen Monitoring,experimental_scene,tag_additions_proposed.csv,该设备专门面向液体或气体样品中的氧浓度、氧饱和度等参数监测。,medium
4334,移液站产品,Liquid Handling Station Products,experimental_scene,tag 标签列表.csv,,medium
P-1111,结构光照明与图案投影,Structured Illumination & Pattern Projection,experimental_scene,tag_additions_proposed.csv,其典型用途就是高速图案控制、structured illumination 和 pattern projection。 || 该器件用于 pattern projection、structured illumination 和 triggered optical sequencing。,medium
P-900005,BACnet MS/TP多路复用器,BACnet MS/TP Multiplexer,device_template_tag,tag_additions_proposed.csv,设备名称和功能都明确指向BACnet MS/TP通信多路复用组件，现有模板中缺少这一类专用多路复用器。,low
P-900004,BACnet MS/TP通信接口,BACnet MS/TP Communication Interface,device_template_tag,tag_additions_proposed.csv,设备本体就是BACnet MS/TP总线接口/网络节点，现有模板缺少这一类专用通信接口。,low
P-60012,CAN总线以太网网关,CAN-to-Ethernet Gateway,device_template_tag,tag_additions_proposed.csv,I-7540D的核心定位就是以太网到CAN的协议桥接网关，这一模板可覆盖同类网关设备。,low
P-8110,CAN总线分析仪,CAN Bus Analyzer,device_template_tag,tag_additions_proposed.csv,该设备是USB转CAN的分析与通信适配器，广泛对应CAN总线分析仪模板。,low
P-300101,CAN总线报文发生器,CAN Bus Message Generator,device_template_tag,tag_additions_proposed.csv,该对象持续按固定周期或多速率发送CAN报文，本质上属于CAN报文发送/注入类设备或软件节点。,low
P-5006,CAN总线日志记录器,CAN Bus Logger,device_template_tag,tag_additions_proposed.csv,该软件记录器的功能边界清晰，适合作为独立的CAN日志记录设备模板。,low
P-700006,CAN总线消息通知器,CAN Bus Notifier,device_template_tag,tag_additions_proposed.csv,该对象是面向CAN总线监听与消息分发的通用通知组件，适合作为独立模板归类。,low
P-600205,CAN消息数据库读取器,CAN Message Database Reader,device_template_tag,tag_additions_proposed.csv,该组件是面向已存储CAN消息数据库的通用读取器，而非实时总线控制器。,low
P-9802,CSV数据导出器,CSV Data Exporter,device_template_tag,tag_additions_proposed.csv,该软件组件的主要功能就是将实验数据缓冲并写出为CSV文件，符合通用CSV导出器模板。,low
P-15002,DAQ系统管理器,DAQ System Manager,device_template_tag,tag_additions_proposed.csv,这是代表并管理整套DAQ系统的软件对象，而不仅是单一采集卡或枚举器，适合作为更通用的系统管理模板。,low
P-1110,GPIO距离传感器,GPIO Distance Sensor,device_template_tag,tag_additions_proposed.csv,这是通过 GPIO 触发/回读工作的通用距离传感器接口模板。,low
P-20011,HDF5数据存储后端,HDF5 Data Storage Backend,device_template_tag,tag_additions_proposed.csv,该组件是典型的HDF5文件读写与层级数据管理后端。,low
P-60011,I²C主控制器,I2C Master Controller,device_template_tag,tag_additions_proposed.csv,该设备明确是I²C总线主控接口模块，可作为一类常见实验嵌入式通信控制器模板。,low
P-900002,MQTT仪器消息客户端,MQTT Instrument Messaging Client,device_template_tag,tag_additions_proposed.csv,设备本身就是通用MQTT客户端组件，负责发布/订阅与发现配置，现有模板中缺少这一类消息客户端。,low
P-800001,Modbus RTU串口网关,Modbus RTU Serial Gateway,device_template_tag,tag_additions_proposed.csv,该设备并非普通串口接口，而是面向Modbus RTU总线的串口网关/转发设备，模板表达更精确。,low
P-31007,Modbus TCP客户端,Modbus TCP Client,device_template_tag,tag_additions_proposed.csv,该设备本质是通过以太网访问Modbus设备的通用客户端，适合作为Modbus TCP客户端模板。,low
P-800002,Modbus TCP服务器,Modbus TCP Server,device_template_tag,tag_additions_proposed.csv,该设备是提供Modbus TCP寄存器服务的服务器类组件，现有模板缺少这一明确类别。,low
P-5009,Modbus TCP现场设备,Modbus TCP Field Device,device_template_tag,tag_additions_proposed.csv,该对象泛指通过Modbus TCP通信的工业现场设备，如PLC、远程I/O和电力仪表，需要比单一PLC更宽的模板。,low
P-0032,OPC-UA地址空间构建器,OPC-UA Address Space Builder,device_template_tag,tag_additions_proposed.csv,设备名称和职责都直接对应OPC-UA服务器地址空间构建器这一软件模板。,low
P-11003,PID过程控制器,PID Process Controller,device_template_tag,tag_additions_proposed.csv,设备被明确描述为工业 PID 过程控制器，现有模板中缺少这一常见控制器类别。,low
P-0036,PLC控制器,PLC Controller,device_template_tag,tag_additions_proposed.csv,该设备本质是实验室自动化系统中使用的PLC/工业控制器。,low
P-600106,PWM输出驱动器,PWM Output Driver,device_template_tag,tag_additions_proposed.csv,该条目适合作为通用PWM输出控制组件模板，可覆盖LED调光和电机驱动等设备。,low
P-900904,SCPI/VISA仪器控制客户端,SCPI/VISA Instrument Control Client,device_template_tag,tag_additions_proposed.csv,该软件组件通过VISA/SCPI远程控制实验仪器，适合作为通用SCPI控制客户端模板。,low
P-3001003,UDP数值发布器,UDP Value Publisher,device_template_tag,tag_additions_proposed.csv,设备动作就是通过UDP广播发布实验数值，模板特征非常明确。,low
P-10011,X射线发生器,X-Ray Generator,device_template_tag,tag_additions_proposed.csv,该设备本质上是实验室X射线发生器/管系统，适合作为独立设备模板标签。,low
P-300001,X射线束线狭缝,X-Ray Beamline Slits,device_template_tag,tag_additions_proposed.csv,该设备本体就是可调开口与中心位置的束线狭缝，现有模板中缺少这一常见束线光学元件。,low
P-800101,ZMQ值订阅器,ZMQ Value Subscriber,device_template_tag,tag_additions_proposed.csv,该组件专门通过 ZeroMQ 订阅远程数值消息，适合作为同类实验消息订阅软件组件的模板标签。,low
P-970007,一维科学数据查看器,1D Scientific Data Viewer,device_template_tag,tag_additions_proposed.csv,现有模板缺少专门覆盖一维曲线、十字光标、ROI 与线剖面交互的数据查看组件类型。,low
P-0041,串行过程仪表,Serial Process Instrument,device_template_tag,tag_additions_proposed.csv,该设备是通过串口和Modbus协议通信的通用过程仪表，现有模板标签中缺少对此类仪表的准确覆盖。,low
P-600202,事件信号分发器,Event Signal Dispatcher,device_template_tag,tag_additions_proposed.csv,它并不控制具体硬件，而是作为实验软件中的通用事件与回调分发组件，适合作为独立模板类标签。,low
P-0010,二极管激光器,Diode Laser,device_template_tag,tag_additions_proposed.csv,设备是可串口控制的智能二极管激光光源，符合二极管激光器模板。,low
P-970006,二维科学数据查看器,2D Scientific Data Viewer,device_template_tag,tag_additions_proposed.csv,现有模板缺少完整覆盖图像显示、坐标缩放、直方图和线剖面的二维科学数据显示组件类型。,low
P-0037,任意函数发生器,Arbitrary Function Generator,device_template_tag,tag_additions_proposed.csv,Tektronix AFG3021B的具体设备类型就是台式任意函数发生器。,low
P-7003,任意波形发生器,Arbitrary Waveform Generator,device_template_tag,tag_additions_proposed.csv,该设备本质上是高速多通道AWG，较现有函数发生器标签更准确。,low
P-7009,任意波形发生器,Arbitrary Waveform Generator,device_template_tag,tag_additions_proposed.csv,该设备以波形查找表和码字寻址为核心，属于典型AWG类别。,low
P-500905,任意波形发生器协调控制器,Arbitrary Waveform Generator Orchestration Controller,device_template_tag,tag_additions_proposed.csv,该软件组件并非单台AWG本体，而是面向多台AWG的统一配置、编程与协调控制器。,low
P-400001,位移测量仪,Displacement Meter,device_template_tag,tag_additions_proposed.csv,该设备是通过命令通信读取微米级位移值的测量仪，现有模板缺少对位移测量仪的直接覆盖。,low
P-0027,位置控制器,Positioner Controller,device_template_tag,tag_additions_proposed.csv,ETS 2090本质上是测试位置器/扫描机构的专用位置控制器，现有模板中缺少这一类设备的准确标签。,low
P-0207,低温制冷机,Cryocooler,device_template_tag,tag_additions_proposed.csv,CryoTel GT 明确是一类实验室低温制冷机。,low
P-12011,低温制冷机监测系统,Cryogenic Refrigerator Monitor,device_template_tag,tag_additions_proposed.csv,设备本体就是用于监测低温制冷机/低温恒温器状态的监测系统。,low
P-500906,光学脉冲选择器,Optical Pulse Picker,device_template_tag,tag_additions_proposed.csv,该设备专门按事件码选择性放行或阻挡光脉冲，适合作为通用脉冲选择器模板。,low
P-9000001,光束挡板,Beam Stopper,device_template_tag,tag_additions_proposed.csv,该设备本体就是通过开/关与限位状态实现光束通断的挡板类装置。,low
P-70004,光纤开关,Fiber Switch,device_template_tag,tag_additions_proposed.csv,设备本质上是多通道光纤切换器，适合作为同类光纤路由与切换硬件的模板标签。,low
P-9806,光谱仪,Spectrometer,device_template_tag,tag_additions_proposed.csv,该设备也用于一般光谱分析与1D/区域扫描采集，较拉曼专用模板更能覆盖其通用光谱仪属性。,low
P-5002,光谱传感器,Spectral Sensor,device_template_tag,tag_additions_proposed.csv,AS7341设备不是传统光谱仪，而是多通道可见光光谱传感器，此模板更贴合其形态与用途。,low
P-500102,内存实验项目存储后端,In-Memory Experimental Project Storage Backend,device_template_tag,tag_additions_proposed.csv,该设备本质上是以内存实现的实验项目/数据项存储后端，而非独立物理仪器。 || 该设备属于面向实验项目与数据项的内存型存储后端。,low
P-60009,分布式实验任务提交器,Distributed Experimental Task Submitter,device_template_tag,tag_additions_proposed.csv,其功能本质是向分布式处理系统提交实验任务，适合作为此类工作流组件的通用模板。 || HTTP任务推送器可归为分布式实验任务提交器这一通用软件组件类别。,low
P-70005,动态链接库仪器驱动,Dynamic Library Instrument Driver,device_template_tag,tag_additions_proposed.csv,该对象是基于DLL/共享库的通用仪器驱动基类，适合作为一类厂商库驱动模板标签。,low
P-970003,可调针阀,Adjustable Needle Valve,device_template_tag,tag_additions_proposed.csv,设备本质是用于真空或气路精细节流的可调针阀，现有模板中缺少这一常见部件类型。,low
P-300002,台式多轴自动换工具平台,Benchtop Multi-Axis Tool-Changing Platform,device_template_tag,tag_additions_proposed.csv,Jubilee属于可自动换工具的台式多轴运动平台，现有模板缺少这类通用实验室运动底座。,low
P-400002,多通道精密电压源,Multi-Channel Precision Voltage Source,device_template_tag,tag_additions_proposed.csv,该设备并非普通电源，而是面向量子实验的多通道高精度电压输出平台，现有模板可进一步细化。,low
P-91000001,实验仪器软件控制模块,Instrument Software Control Module,device_template_tag,tag_additions_proposed.csv,该对象不是实体仪器，而是封装LabOne连接、节点控制和AWG管理的通用软件控制模块。 || 该对象是通用LabOne模块的软件接口，而非物理设备，适合归为软件控制模块模板。,low
P-600110,实验仪表板套接字客户端,Experimental Dashboard Socket Client,device_template_tag,tag_additions_proposed.csv,它是通过套接字与实验仪表板或设备前端交互的客户端组件模板。,low
P-10016,实验室仪器枚举器,Laboratory Instrument Enumerator,device_template_tag,tag_additions_proposed.csv,该对象专门用于扫描VISA、GPIB、串口等资源并识别可接入仪器，适合作为通用枚举器模板。,low
P-40006,实验室倾斜模块,Laboratory Tilt Module,device_template_tag,tag_additions_proposed.csv,该设备是面向样品载具姿态调整、排液和分离辅助的实验室倾斜模块。,low
P-30003,实验扫描数据写入器,Experimental Scan Data Writer,device_template_tag,tag_additions_proposed.csv,该对象专门面向扫描流程写出测量数据、设备列表、信号列表及元数据，属于实验扫描数据写入器模板。,low
P-5004,实验扫描数据文件,Experimental Scan Data File,device_template_tag,tag_additions_proposed.csv,该对象不是硬件而是专用于保存扫描结果、参数和列式数据的实验数据文件模板。,low
P-99010008,实验报警汇总指示器,Experiment Alarm Summary Indicator,device_template_tag,tag_additions_proposed.csv,该组件是对多个实验信号报警状态进行汇总显示的通用界面部件，Typhos报警组件符合此模板。,low
P-9907,实验控制仪表板,Experiment Control Dashboard,device_template_tag,tag_additions_proposed.csv,该软件是集中管理探测器、执行器、扫描和日志的实验控制仪表板，需独立模板表达。,low
P-30001,实验数据文件读写器,Experimental Data File Reader/Writer,device_template_tag,tag_additions_proposed.csv,该对象是通用实验软件中的文件创建、读取、写入与解析组件，可归为实验数据文件读写器模板。,low
P-990205,实验数据流传输器,Experimental Data Streamer,device_template_tag,tag_additions_proposed.csv,该非实体组件的核心功能是持续、异步地将实验文件或数据流式发送到服务器或集群节点，适合作为实验数据流传输器模板。,low
P-10004,实验数据融合处理器,Experimental Data Fusion Processor,device_template_tag,tag_additions_proposed.csv,它不是独立测量硬件，而是通用的实验数据融合与实时计算处理模板。,low
P-10002,实验数据集对象,Experimental Dataset Object,device_template_tag,tag_additions_proposed.csv,该对象表示一个带标题、说明、校准和元数据的实验数据集，适合作为通用数据集对象模板。,low
