name,name_en,device,registry_key,action_count,function_count,atom_actions,description,description_en,categories,tags,source_file,matched_life_science_tags,matched_tag_confidences,confidence,confidence_refined
AA Opto MDS 声光可调滤波器,AA Opto MDS Acousto-Optic Tunable Filter,aa_opto_mds,aa_opto_mds,10,17,auto-Close|auto-Disable|auto-Enable|auto-GetFreq|auto-GetPower|auto-GetStatus|auto-SetFreq|auto-SetPower|auto-SetPowerAndEnable|auto-query,这是一台 AA Opto 的 MDS 系列声光可调滤波器/控制单元，用于按通道控制激光光路的透过、射频驱动功率和工作频率，从而实现特定波长或光束的快速选通与强度调节。该设备常用于荧光显微、激光扫描和多激光实验中的快速波长选择与光强调制。,"This is an AA Opto MDS-series acousto-optic tunable filter and controller used to control laser transmission, RF drive power, and operating frequency on individual channels, enabling fast wavelength selection and intensity modulation. It is commonly used in fluorescence microscopy, laser scanning, and multi-laser laboratory setups for rapid optical switching and beam control.",声光可调滤波器,表征设备|生命体系|智慧表征与检测中心|显微成像与光学显微实验|声光可调滤波器,_aggregate_device_info_output.csv,生命体系|显微成像与光学显微实验,high|medium,high,high
ASI MS2000显微镜控制器,ASI MS2000 Microscope Controller,_asi_controller,_asi_controller,25,62,auto-changed_timeout|auto-command|auto-find_max_speed|auto-get_absolute_position|auto-get_command|auto-get_description|auto-get_led_power|auto-get_number_axes|auto-get_number_leds|auto-is_busy|auto-is_led_on|auto-motor_moving|auto-move_by_relative_position|auto-move_command|auto-move_to_absolute_position|auto-move_to_limit|auto-read_multiline|auto-read_until_timeout|auto-readline|auto-reset_position|auto-set_command|auto-set_led_power|auto-set_speed|auto-wait_for_motor_stop|auto-wait_until_idle,用于显微镜自动化的多轴控制器，可驱动X、Y、Z载物台或调焦轴，并在部分配置下控制LED照明通道。常用于显微成像中的样品定位、扫描、对焦以及光源联动控制。,"A multi-axis controller for microscope automation that can drive X, Y, and Z stage or focus axes, and on some configurations also control LED illumination channels. It is commonly used for sample positioning, scanning, focusing, and coordinated light control in microscopy experiments.",显微镜自动化控制器,表征设备|智慧表征与检测中心|实验室自动化与仪器集成|物化表征测试中心|显微成像与光学显微实验|显微镜自动化控制器,_aggregate_device_info_output.csv,实验室自动化与仪器集成|显微成像与光学显微实验|显微镜自动化控制器,low|medium|high,high,high
ASI Tiger多轴运动控制器,ASI Tiger Multi-Axis Motion Controller,tiger_controller,tiger_controller,52,61,auto-change_filter_wheel_speed|auto-connect_to_serial|auto-disconnect_from_serial|auto-get_axis_addr|auto-get_axis_position|auto-get_axis_position_um|auto-get_default_motor_axis_sequence|auto-get_encoder_counts_per_mm|auto-get_position|auto-get_speed|auto-halt_filter_wheel|auto-is_axis_busy|auto-is_device_busy|auto-is_moving|auto-is_open|auto-logic_card_off|auto-logic_card_on|auto-logic_cell_off|auto-logic_cell_on|auto-move|auto-move_axis|auto-move_dichroic|auto-move_filter_wheel|auto-move_filter_wheel_to_home|auto-moverel|auto-moverel_axis|auto-read_response|auto-report_to_console|auto-scan_ports|auto-scanr|auto-scanv|auto-select_filter_wheel|auto-send_command|auto-send_filter_wheel_command|auto-set_backlash|auto-set_error|auto-set_feedback_alignment|auto-set_finishing_accuracy|auto-set_max_speed|auto-set_speed|auto-set_speed_as_percent_max|auto-setup_control_loop|auto-setup_laser|auto-setup_z_stage|auto-single_axis_mode|auto-single_axis_waveform|auto-square_wave|auto-start_scan|auto-stop|auto-stop_scan|auto-wait_for_device|auto-wait_for_loop,用于显微成像与自动化实验的多轴硬件控制器。它通过串口控制电动载物台/位移轴，并可协调扫描、滤光轮、二向色镜滑块、逻辑触发、波形输出以及相机、激光和远焦等时序信号。,"A multi-axis hardware controller for microscopy and automated experiments. It communicates over serial to control motorized stages/axes and can coordinate scanning, filter wheels, dichroic sliders, logic triggering, waveform output, and timing signals for cameras, lasers, and remote focus devices.",电动位移台控制器|位置控制器,表征设备|物流/机械|精密定位与运动控制|实验室自动化与仪器集成|显微成像与光学显微实验|样品/探针定位与运动控制|电动位移台控制器|位置控制器,_aggregate_device_info_output.csv,实验室自动化与仪器集成|显微成像与光学显微实验|样品/探针定位与运动控制|电动位移台控制器|位置控制器,low|medium|medium|medium|low,medium,high
Agilent BioTek 多功能微孔板读板仪,Agilent BioTek multimode microplate reader,bio_tek_plate_reader_backend,bio_tek_plate_reader_backend,25,41,auto-abs_wavelength_range|auto-close|auto-emission_range|auto-excitation_range|auto-focal_height_range|auto-get_current_temperature|auto-get_firmware_version|auto-get_serial_number|auto-home|auto-open|auto-read_absorbance|auto-read_fluorescence|auto-read_luminescence|auto-send_command|auto-set_plate|auto-set_temperature|auto-setup|auto-shake|auto-stop|auto-stop_heating_or_cooling|auto-stop_shaking|auto-supports_cooling|auto-supports_heating|auto-temperature_range|auto-version,这是一种台式微孔板读板仪，用于对微孔板中的样品进行吸光度、荧光和发光检测。设备通常带有载板抽屉、温度控制和振荡功能，适用于生化分析、细胞实验和高通量筛选等实验室检测工作。,"A benchtop multimode microplate reader used to measure absorbance, fluorescence, and luminescence from samples in microplates. It typically includes a plate tray, temperature control, and shaking, and is used for biochemical assays, cell-based experiments, and high-throughput screening.",酶标仪,表征设备|生命体系|智慧表征与检测中心|细胞生物学研究|酶标仪|微孔板检测与高通量筛选,_aggregate_device_info_output.csv,生命体系|细胞生物学研究|酶标仪|微孔板检测与高通量筛选,high|high|high|high,high,high
Andor Neo科学CMOS相机,Andor Neo sCMOS Camera,neo,neo,10,18,auto-clock_rate|auto-exposure_time|auto-fan_peed|auto-initialize|auto-pixel_encoding|auto-roi|auto-sensor_size|auto-sensor_temp|auto-take_image|auto-take_image_async,Andor Neo是一款科学级CMOS相机，用于实验室中的低噪声、高灵敏度二维成像。它常用于显微成像、光学检测和需要可调曝光、传感器读出与区域选取的科学图像采集实验。,"The Andor Neo is a scientific CMOS camera for low-noise, high-sensitivity 2D imaging in laboratories. It is commonly used for microscopy, optical measurements, and scientific image acquisition experiments that require adjustable exposure, sensor readout settings, and region-of-interest selection.",科学相机,表征设备|光学与光谱实验|显微成像与光学显微实验|实验成像与机器视觉|科学相机,_aggregate_device_info_output.csv,显微成像与光学显微实验|实验成像与机器视觉|科学相机,medium|medium|medium,medium,high
Andor 科学相机,Andor scientific camera,skeleton_camera,skeleton_camera,50,59,auto-CamReady|auto-CheckCoordinates|auto-DisplayError|auto-ExpReady|auto-ExtractColor|auto-GenStartMetadata|auto-GetAcquisitionMode|auto-GetBWPicture|auto-GetBufferSize|auto-GetCCDHeight|auto-GetCCDTemp|auto-GetCCDTempSetPoint|auto-GetCCDWidth|auto-GetEMGain|auto-GetElectrTemp|auto-GetFPS|auto-GetHorizBin|auto-GetHorzBinValue|auto-GetIntegTime|auto-GetNoiseProperties|auto-GetNumImsBuffered|auto-GetNumberChannels|auto-GetPicHeight|auto-GetPicWidth|auto-GetROIX1|auto-GetROIX2|auto-GetROIY1|auto-GetROIY2|auto-GetSerialNumber|auto-GetStatus|auto-GetVertBin|auto-Init|auto-SetAcquisitionMode|auto-SetActive|auto-SetBaselineClamp|auto-SetBurst|auto-SetCCDTemp|auto-SetCOC|auto-SetEMGain|auto-SetHorizBin|auto-SetIntegTime|auto-SetROI|auto-SetROIIndex|auto-SetShutter|auto-SetVertBin|auto-Shutdown|auto-StartExposure|auto-StartLifePreview|auto-StopAq|auto-StopLifePreview,用于实验成像采集的科学相机，可进行曝光控制、图像帧读取、ROI（感兴趣区域）设置、缓冲区管理、传感器温度与快门相关控制，适用于显微成像等实验场景。,"A scientific imaging camera for laboratory image acquisition, supporting exposure control, frame readout, ROI configuration, buffer management, sensor temperature handling, and shutter-related control for applications such as microscopy.",科学相机,表征设备|智慧表征与检测中心|光学与光谱实验|显微成像与光学显微实验|实验成像与机器视觉|科学相机,_aggregate_device_info_output.csv,显微成像与光学显微实验|实验成像与机器视觉|科学相机,medium|medium|medium,medium,high
自动化注射泵控制器,Automated Syringe Pump Controller,a_pump,a_pump,16,23,auto-close|auto-disconnect|auto-enableRemoteControl|auto-getIdentification|auto-getResponse|auto-getStatus|auto-readDisplay|auto-selectUnit|auto-sendAndAcknowledge|auto-sendBuffered|auto-sendImmediate|auto-sendString|auto-setFlowDirection|auto-setSpeed|auto-startFlow|auto-stopFlow,这是一种用于实验室自动化系统的注射泵控制设备，用于对泵单元进行远程使能、启动/停止、状态读取与命令下发。它常用于试剂分配、液体传输和流程化液路控制场景。,"This is a syringe-pump control device for laboratory automation, used to remotely enable pump units, start and stop flow, read status, and send control commands. It is commonly used in reagent dispensing, liquid transfer, and scripted fluid-path control workflows.",注射泵,备料&前处理设备|溶液配制与反应|实验室自动化与仪器集成|移液站产品|注射泵,_aggregate_device_info_output.csv,实验室自动化与仪器集成|移液站产品,low|medium,medium,high
自动微孔板培养箱,Automated microplate incubator,incubator,incubator,16,29,auto-close_door|auto-deserialize|auto-fetch_plate_to_loading_tray|auto-find_random_site|auto-find_smallest_site_for_plate|auto-get_num_free_sites|auto-get_site_by_plate_name|auto-get_temperature|auto-open_door|auto-racks|auto-serialize|auto-set_temperature|auto-start_shaking|auto-stop_shaking|auto-summary|auto-take_in_plate,一种用于存放并温控培养微孔板或培养板的自动化实验室培养箱，通常具有多个板位、装载托盘和可开闭门机构，可在设定温度下进行样品孵育，并支持板件取放与振荡混匀。常用于细胞培养、酶反应、样品保温和自动化流程中的板式孵育步骤。,"An automated laboratory incubator for storing and temperature-controlling microplates or assay plates. It typically provides multiple plate sites, a loading tray, and a door mechanism, allowing incubation at a set temperature as well as automated plate transfer and shaking. It is commonly used for cell culture, enzyme reactions, sample holding, and plate incubation steps in lab automation workflows.",微孔板自动培养存储系统,实验执行&合成设备|器件/细胞设备|生命体系|实验室自动化与仪器集成|细胞生物学研究|微孔板样品孵育与混匀|微孔板自动培养存储系统,_aggregate_device_info_output.csv,器件/细胞设备|生命体系|实验室自动化与仪器集成|细胞生物学研究|微孔板样品孵育与混匀|微孔板自动培养存储系统,high|high|low|high|high|medium,high,high
BITalino 生理信号采集板,BITalino biosignal acquisition board,bi_talino,bi_talino,5,21,auto-connect|auto-disconnect|auto-set_callback|auto-start|auto-stop,BITalino 是一款便携式蓝牙生理信号采集设备，提供多路模拟输入通道，可用于采集和传输实验中的生理或其他低频模拟传感器信号。它常用于教学、原型开发和可穿戴生理测量实验。,"BITalino is a portable Bluetooth biosignal acquisition device with multiple analog input channels for collecting and streaming physiological or other low-frequency analog sensor signals in laboratory experiments. It is commonly used for teaching, prototyping, and wearable physiology measurements.",模拟输入数据采集模块,表征设备|生命体系|实验仪器数据采集与联机控制|模拟输入数据采集模块,_aggregate_device_info_output.csv,生命体系,high,high,high
BioShake微孔板加热振荡器,BioShake microplate heater shaker,bio_shake,bio_shake,13,21,auto-deactivate|auto-get_current_temperature|auto-home|auto-lock_plate|auto-reset|auto-set_temperature|auto-setup|auto-shake|auto-stop|auto-stop_shaking|auto-supports_active_cooling|auto-supports_locking|auto-unlock_plate,这是一种实验室微孔板加热振荡器，可对板式样品进行控温并同时振荡混匀。它常用于样品孵育、反应混合、酶反应、核酸与蛋白相关实验等需要稳定温度和持续摇匀的流程，部分机型还支持锁板与主动冷却功能。,"This is a laboratory microplate heater shaker that provides temperature control and shaking for plate-based samples. It is commonly used for sample incubation, reaction mixing, enzymatic workflows, and nucleic acid or protein-related assays that require stable heating and continuous agitation. Some models also support plate locking and active cooling.",热混匀仪|微孔板恒温振荡器,备料&前处理设备|实验执行&合成设备|生命体系|溶液配制与反应|热混匀仪|微孔板样品孵育与混匀|微孔板恒温振荡器,_aggregate_device_info_output.csv,生命体系|热混匀仪|微孔板样品孵育与混匀|微孔板恒温振荡器,high|high|high|medium,high,high
BioShake微孔板恒温振荡器,BioShake microplate thermoshaker,bioshake_driver,bioshake_driver,7,17,auto-get_info|auto-home_shaker|auto-lock|auto-set_shake|auto-temp_off|auto-temp_on|auto-unlock,这是一种用于微孔板样品处理的实验室恒温振荡设备，可对板内液体进行振荡混匀并提供温度控制，常用于孵育、酶反应和样品制备等流程。,"This is a laboratory thermoshaker for processing microplate samples. It provides shaking for liquid mixing and temperature control, and is commonly used for incubation, enzymatic reactions, and sample preparation workflows.",热混匀仪|微孔板恒温振荡器,备料&前处理设备|实验执行&合成设备|生命体系|溶液配制与反应|热混匀仪|微孔板样品孵育与混匀|微孔板恒温振荡器,_aggregate_device_info_output.csv,生命体系|热混匀仪|微孔板样品孵育与混匀|微孔板恒温振荡器,high|high|high|medium,high,high
BioTek Cytation微孔板成像读板仪,BioTek Cytation Plate Reader Imager,cytation_backend,cytation_backend,17,39,auto-capture|auto-filters|auto-led_off|auto-led_on|auto-objectives|auto-select|auto-set_auto_exposure|auto-set_exposure|auto-set_focus|auto-set_gain|auto-set_imaging_mode|auto-set_objective|auto-set_position|auto-start_acquisition|auto-stop_acquisition|auto-supports_cooling|auto-supports_heating,Cytation是一类带显微成像功能的微孔板读板仪，可对多孔板样品进行自动对焦、位移扫描、明场或滤光片成像，并支持相机曝光、增益、物镜和照明设置。它常用于细胞培养板成像、荧光/明场观察以及自动化板式实验的数据采集。,"The Cytation is a microplate reader with integrated microscopy-style imaging. It can autofocus, move across wells, perform brightfield or filtered imaging, and control camera exposure, gain, objectives, and illumination. It is commonly used for imaging cell culture plates, fluorescence or brightfield observation, and automated data collection in plate-based assays.",酶标仪|荧光显微镜|微孔板成像读板仪,表征设备|生命体系|细胞生物学研究|微孔板检测与高通量筛选|显微成像与光学显微实验|酶标仪|荧光显微镜|微孔板成像读板仪,_aggregate_device_info_output.csv,生命体系|细胞生物学研究|微孔板检测与高通量筛选|显微成像与光学显微实验|酶标仪|荧光显微镜|微孔板成像读板仪,high|high|high|medium|high|medium|high,high,high
Byonoy Absorbance 96 酶标仪,Byonoy Absorbance 96 Plate Reader,byonoy_absorbance96_automate_backend,byonoy_absorbance96_automate_backend,7,29,auto-get_available_absorbance_wavelengths|auto-initialize_measurements|auto-read_absorbance|auto-read_fluorescence|auto-read_luminescence|auto-send_command|auto-setup,这是一款面向96孔微孔板的吸光度酶标仪，用于在选定波长下测量各孔样品的吸光度信号。它适用于ELISA、比色分析以及其他基于微孔板的常规实验检测。,"This is a 96-well microplate absorbance reader used to measure sample absorbance in plate wells at selected wavelengths. It is suitable for ELISA, colorimetric assays, and other routine microplate-based laboratory measurements.",酶标仪,表征设备|生命体系|智慧表征与检测中心|微孔板检测与高通量筛选|酶标仪,_aggregate_device_info_output.csv,生命体系|微孔板检测与高通量筛选|酶标仪,high|high|high,high,high
CLARIOstar多功能酶标仪,CLARIOstar multimode microplate reader,clari_ostar_backend,clari_ostar_backend,13,29,auto-close|auto-get_stat|auto-initialize|auto-open|auto-read_absorbance|auto-read_command_status|auto-read_fluorescence|auto-read_luminescence|auto-read_resp|auto-request_eeprom_data|auto-send|auto-setup|auto-stop,CLARIOstar 是一款多功能微孔板读板仪，可对微孔板样品进行吸光度、荧光和发光检测，常用于生化分析、细胞实验、药物筛选和其他高通量实验。,"The CLARIOstar is a multimode microplate reader used to measure absorbance, fluorescence, and luminescence in microplate samples. It is commonly used for biochemical assays, cell-based experiments, drug screening, and other high-throughput laboratory workflows.",酶标仪,表征设备|生命体系|微孔板检测与高通量筛选|细胞生物学研究|酶标仪,_aggregate_device_info_output.csv,生命体系|微孔板检测与高通量筛选|细胞生物学研究|酶标仪,high|high|high|high,high,high
Coherent 可调谐超快激光器,Coherent tunable ultrafast laser,coherent,coherent,19,28,auto-clearBuffer|auto-clearGDD|auto-close|auto-getAlignment|auto-getComp|auto-getGDD|auto-getGDDMinMax|auto-getPower|auto-getShutter|auto-getWavelength|auto-getWavelengthRange|auto-isTuning|auto-read|auto-readPacket|auto-setAlignment|auto-setGDD|auto-setShutter|auto-setWavelength|auto-write,这是一类由 Coherent 生产的可调谐超快激光器，能够在一定波长范围内输出激光并进行波长调谐，同时支持群时延色散补偿、快门控制和对准模式。该类设备常用于双光子显微、超快光谱、非线性光学及其他需要可调谐短脉冲激光源的实验。,"This is a tunable ultrafast laser made by Coherent. It provides laser output over a selectable wavelength range and supports wavelength tuning, group-delay-dispersion compensation, shutter control, and alignment mode. Such systems are commonly used in multiphoton microscopy, ultrafast spectroscopy, nonlinear optics, and other experiments requiring a tunable short-pulse laser source.",实验室激光光源|可调谐超快激光器,实验执行&合成设备|表征设备|光学与光谱实验|激光激发与光谱测量|显微成像与光学显微实验|实验室激光光源|可调谐超快激光器,_aggregate_device_info_output.csv,显微成像与光学显微实验,medium,medium,high
CoolLED pE系列显微镜LED照明控制器,CoolLED pE Series Microscope LED Illumination Controller,cool_led,cool_led,1,32,auto-devices,这是一类用于显微镜的多通道LED照明控制器与光源系统，常见于荧光显微成像。设备可提供多个独立波段通道（如A到H），用于激发不同荧光染料，并支持通道选择、开关和TTL触发控制。,"A multi-channel LED illumination controller and light source system for microscopes, commonly used in fluorescence imaging. It provides multiple independent wavelength channels (such as A to H) for exciting different fluorophores, with channel selection, on/off control, and TTL triggering.",LED光源控制器,表征设备|光学与光谱实验|显微成像与光学显微实验|LED光源控制器,_aggregate_device_info_output.csv,显微成像与光学显微实验|LED光源控制器,medium|medium,medium,high
Cytomat微孔板自动培养存储系统,Cytomat Automated Microplate Incubator Storage System,cytomat_backend,cytomat_backend,43,59,auto-action_exposed_to_storage|auto-action_exposed_to_wait|auto-action_read_barcode|auto-action_storage_to_exposed|auto-action_storage_to_transfer|auto-action_storage_to_wait|auto-action_transfer_to_storage|auto-action_transfer_to_wait|auto-action_wait_to_exposed|auto-action_wait_to_storage|auto-action_wait_to_transfer|auto-close_door|auto-fetch_plate_to_loading_tray|auto-get_action_register|auto-get_co2|auto-get_error_register|auto-get_humidity|auto-get_incubation_query|auto-get_o2|auto-get_overview_register|auto-get_sensor_register|auto-get_swap_register|auto-get_temperature|auto-get_warning_register|auto-init_shakers|auto-initialize|auto-open_door|auto-reset_error_register|auto-send_action|auto-send_command|auto-serialize|auto-set_racks|auto-set_shaking_frequency|auto-set_temperature|auto-setup|auto-shovel_in|auto-shovel_out|auto-start_shaking|auto-stop|auto-stop_shaking|auto-take_in_plate|auto-wait_for_task_completion|auto-wait_for_transfer_station,这是一种用于微孔板自动存取、培养和转运的实验室培养存储设备，带有内部存储位、传送位和外部暴露位，可控制温度、CO2、湿度和O2，并支持振荡和条码读取。常用于细胞培养、高通量筛选和自动化工作站中的板管理。,"This is an automated laboratory incubator and storage system for microplates, with internal storage positions, a transfer station, and an external exposed position. It can control temperature, CO2, humidity, and O2, and supports shaking and barcode reading. It is commonly used for cell culture, high-throughput screening, and automated plate management workflows.",组织培养试验箱|微孔板自动培养存储系统,器件/细胞设备|物流/机械|生命体系|细胞生物学研究|微孔板样品孵育与混匀|微孔板检测与高通量筛选|组织培养试验箱|微孔板自动培养存储系统,_aggregate_device_info_output.csv,器件/细胞设备|生命体系|细胞生物学研究|微孔板样品孵育与混匀|微孔板检测与高通量筛选|组织培养试验箱|微孔板自动培养存储系统,high|high|high|high|high|high|medium,high,high
E-255压电定位器,E-255 Piezo Positioner,piezo_e255,piezo_e255,7,14,auto-GetChannelObject|auto-GetChannelPhase|auto-GetControlReady|auto-GetMax|auto-GetMin|auto-GetPos|auto-MoveTo,用于显微实验中的高精度压电定位设备，可按通道移动到指定位置并读取当前位置、行程上下限、控制就绪状态以及部分通道信息，常用于精密调焦或纳米级位移控制。,"A high-precision piezo positioning device for microscopy experiments. It can move a channel to a target position and report current position, travel limits, controller ready status, and channel-related information. It is typically used for fine focus or nanometer-scale motion control.",压电定位器,表征设备|精密定位与运动控制|智慧表征与检测中心|显微成像与光学显微实验|样品/探针定位与运动控制|压电定位器,_aggregate_device_info_output.csv,显微成像与光学显微实验|样品/探针定位与运动控制|压电定位器,medium|medium|medium,medium,high
